Index,molecule_chembl_id,IC50,units,smiles,pIC50
55,CHEMBL1008,430,uM,CC(C)COCC(CN(Cc1ccccc1)c1ccccc1)N1CCCC1,6.36653154442041
56,CHEMBL363295,500,uM,CC(CC(c1ccccc1)c1ccccc1)NC(C)(C)C,6.30102999566398
57,CHEMBL631,800,uM,CCCNCC(O)COc1ccccc1C(=O)CCc1ccccc1,6.09691001300806
58,CHEMBL353985,1000,uM,COc1ccc(CCN(C)CCOc2ccc(NS(C)(=O)=O)cc2N)cc1OC,6
59,CHEMBL505,1100,uM,CN(C)CCC(c1ccc(Cl)cc1)c1ccccn1,5.95860731484178
60,CHEMBL511,1100,uM,COc1ccc(CN(CCN(C)C)c2ccccn2)cc1,5.95860731484178
61,CHEMBL45816,1400,uM,COCC(=O)O[C@]1(CCN(C)CCCc2nc3ccccc3[nH]2)CCc2cc(F)ccc2[C@@H]1C(C)C,5.85387196432176
62,CHEMBL184412,3000,uM,CCCCc1oc2ccc(NS(C)(=O)=O)cc2c1C(=O)c1ccc(OCCCN(CCCC)CCCC)cc1,5.52287874528034
63,CHEMBL9387,5000,uM,Cc1cccc(NC(=O)N[C@@H]2N=C(c3ccccc3)c3ccccc3N(C)C2=O)c1,5.30102999566398
64,CHEMBL184014,6100,uM,COc1ccc(CCNC(C)COc2c(C)cccc2C)cc1OC,5.21467016498923
65,CHEMBL87045,8800,uM,c1ccc(C2(c3ccccc3)CC2C2=NCCN2)cc1,5.05551732784983
66,CHEMBL360861,10000,uM,Cn1c(NCCN(CCO)CCCc2ccc([N+](=O)[O-])cc2)cc(=O)n(C)c1=O,5
67,CHEMBL185434,12000,uM,CCN(CC)CC#CCOC(=O)[C@](O)(c1ccccc1)C1CCCCC1,4.92081875395238
68,CHEMBL517,12000,uM,CC(C)N(CCC(C(N)=O)(c1ccccc1)c1ccccn1)C(C)C,4.92081875395238
69,CHEMBL186873,14000,uM,COc1cc2c(cc1OC)C1Cc3ccc(OC)c(OC)c3C(Cc3ccccc3)N1CC2,4.85387196432176
70,CHEMBL442717,16000,uM,COc1cc2c(cc1OC)[C@@H](Cc1ccc(Oc3cc(C[C@@H]4c5cc(OC)c(OC)cc5CCN4C)ccc3O)cc1)N(C)CC2,4.79588001734408
71,CHEMBL1726,23000,uM,COC(=O)C1=C(C)NC(C)=C(C(=O)OCC(C)C)C1c1ccccc1[N+](=O)[O-],4.63827216398241
72,CHEMBL1097,100000,uM,CCN(CC)CCNC(=O)c1ccc(NC(C)=O)cc1,4
73,CHEMBL193,280000,uM,COC(=O)C1=C(C)NC(C)=C(C(=O)OC)C1c1ccccc1[N+](=O)[O-],3.55284196865778
74,CHEMBL448,22800000,uM,CCCC(C)C1(CC)C(=O)NC(=O)NC1=O,1.64206515299955
75,CHEMBL1107,40,uM,CCCCN(CCCC)CCC(O)c1cc2c(Cl)cc(Cl)cc2c2cc(C(F)(F)F)ccc12,7.39794000867204
76,CHEMBL362721,90,uM,CN1Cc2ccccc2[C@@H](c2ccccc2)N=C1CCc1ccccc1,7.04575749056068
77,CHEMBL184461,420,uM,COc1ccc(CCNCCCNC(=O)c2ccc([N+](=O)[O-])cc2)cc1OC,6.3767507096021
78,CHEMBL46516,2300,uM,O=C1NCN(c2ccccc2)C12CCN(CCCC(c1ccc(F)cc1)c1ccc(F)cc1)CC2,5.63827216398241
79,CHEMBL76,2500,uM,CCN(CC)CCCC(C)Nc1ccnc2cc(Cl)ccc12,5.60205999132796
80,CHEMBL416956,2600,uM,OC(c1cc(C(F)(F)F)nc2c(C(F)(F)F)cccc12)C1CCCCN1,5.58502665202918
81,CHEMBL16900,6000,uM,O=C(Cc1ccc(C(F)(F)F)cc1C(F)(F)F)N[C@@H]1N=C(c2ccccc2)c2ccccc2N(CC(F)(F)F)C1=O,5.22184874961636
82,CHEMBL38827,8100,uM,CCCCN(CCCC)CC(O)c1cc(Cl)cc2c1-c1ccc(Cl)cc1/C2=C/c1ccc(Cl)cc1,5.09151498112135
83,CHEMBL182223,79000,uM,NC(CC(=O)N1CCC[C@H]1C(=O)NCc1ccc(C(=O)O)cc1)Cc1ccc(F)c(F)c1.O=C(O)C(F)(F)F,4.10237290870956
84,CHEMBL435882,870,uM,NC(CC(=O)N1CCC[C@H]1C(=O)NCc1ccc(C(F)(F)F)cc1)Cc1ccccc1F.O=C(O)C(F)(F)F,6.06048074738138
85,CHEMBL364102,76000,uM,CC(C)[C@@H](Oc1ccc(CNC(=O)[C@@H]2CCCN2C(=O)CC(N)Cc2cc(F)ccc2F)cc1)C(=O)O.O=C(O)C(F)(F)F,4.11918640771921
86,CHEMBL186482,9700,uM,COC(=O)Cc1ccc(CNC(=O)[C@@H]2CSCN2C(=O)CC(N)Cc2ccccc2F)cc1.O=C(O)C(F)(F)F,5.01322826573376
87,CHEMBL186730,800,uM,NCc1ccc(F)c(C2CCN(C(=O)c3cccc(-c4nc(-c5cccs5)no4)c3)CC2)c1,6.09691001300806
88,CHEMBL188068,76800,uM,NCc1ccc(F)c(C2CCN(C(=O)c3cc(C(=O)O)cc(-c4nc(-c5cccs5)no4)c3)CC2)c1,4.11463877996849
89,CHEMBL365062,17100,uM,NCc1ccc(F)c(C2CCN(C(=O)c3cc(C(N)=O)cc(-c4nc(-c5cccs5)no4)c3)CC2)c1,4.76700388960785
90,CHEMBL189881,1100,uM,C[C@@H](c1ccc(-c2ccc(F)cc2)cc1)[C@H](N)C(=O)N1CC[C@H](F)C1.O=C(O)C(F)(F)F,5.95860731484178
91,CHEMBL2113086,2700,uM,O=C(O)[C@@H](CC1CCC1)N1C[C@H](CN2CCC(c3cnc4ccccn34)CC2)[C@@H](c2cccc(F)c2)C1,5.56863623584101
92,CHEMBL195378,59000,uM,C[C@@H](c1ccc(-c2cccc(-c3nn[nH]n3)c2)cc1)[C@H](N)C(=O)N1CC[C@H](F)C1.O=C(O)C(F)(F)F,4.22914798835786
93,CHEMBL370072,28000,uM,C[C@@H](c1ccc(-c2cccc(-c3noc(O)n3)c2)cc1)[C@H](N)C(=O)N1CC[C@H](F)C1.O=C(O)C(F)(F)F,4.55284196865778
94,CHEMBL196983,790,uM,COc1ccc([C@@H](O)C[C@H]2c3cc(OC)c(OC)cc3CCN2C)cc1,6.10237290870956
95,CHEMBL197467,400,uM,COc1cc2c(cc1OC)[C@H](C[C@H](O)c1ccc(Cl)cc1)N(C)CC2,6.39794000867204
96,CHEMBL197243,180,uM,COc1cccc(CN2CCCCCCC2)c1OCc1csc(-c2ccccc2)n1,6.74472749489669
97,CHEMBL197304,40,uM,COc1cccc(CN2CCCCCCC2)c1OCc1csc(-c2ccc(Cl)cc2)n1,7.39794000867204
98,CHEMBL195180,30,uM,Clc1ccc(-c2nc(COc3ccccc3CN3CCCCCCC3)cs2)cc1,7.52287874528034
99,CHEMBL364912,7700,uM,COc1cccc(C(=O)N2CCCC2)c1OCc1csc(-c2ccc(Cl)cc2)n1,5.11350927482752
100,CHEMBL195235,9800,uM,O=C(c1ccccc1OCc1csc(-c2ccc(Cl)cc2)n1)N1CCCC1,5.00877392430751
101,CHEMBL194564,2250,uM,O=c1cc(NC2CCN(Cc3ccc4c(c3)OCO4)CC2)c2cc(Cl)ccc2o1,5.64781748188864
102,CHEMBL198387,5400,uM,CC(C)(C)C1CCC2(CC1)CCN(c1ccc(OC(F)(F)F)cc1)C(=O)N2Cc1ccc(C(=O)Nc2nn[nH]n2)cc1,5.26760624017703
103,CHEMBL381145,8300,uM,C[C@@H](c1ccc(-c2ccc(O)nc2)cc1)[C@H](N)C(=O)N1CC[C@H](F)C1.O=C(O)C(F)(F)F,5.08092190762393
104,CHEMBL205437,1300,nM,CN(C(=O)N1CC(c2cc(F)ccc2F)=C[C@H]1c1ccccc1)C1CCNCC1,5.88605664769316
105,CHEMBL382165,11000,nM,O=C([C@@H](O)C1CC1)N1CC(c2cc(F)ccc2F)=C[C@H]1c1ccccc1,4.95860731484178
106,CHEMBL202788,25000,nM,CC(C)(C)[C@H](NC(=O)OCCO)C(=O)N1CC(c2cc(F)ccc2F)=C[C@H]1c1ccccc1,4.60205999132796
107,CHEMBL204408,1500,nM,CC(C)(C)[C@H](N)C(=O)N1CC(c2cc(F)ccc2F)=C[C@H]1c1ccccc1,5.82390874094432
108,CHEMBL204459,3500,nM,N[C@H](C(=O)N1CC(c2cc(F)ccc2F)=C[C@H]1c1ccccc1)C1CC1,5.45593195564972
109,CHEMBL379690,2400,nM,CC(C)[C@H](N)C(=O)N1CC(c2cc(F)ccc2F)=C[C@H]1c1ccccc1,5.61978875828839
110,CHEMBL203045,2200,nM,CC(C)(CN)C(=O)N1CC(c2cc(F)ccc2F)=C[C@H]1c1ccccc1,5.65757731917779
111,CHEMBL382587,1300,nM,CN(CCCN)C(=O)N1CC(c2cc(F)ccc2F)=C[C@H]1c1ccccc1,5.88605664769316
112,CHEMBL378547,7800,nM,CC(C)(C)C(=O)N1CC(c2cc(F)ccc2F)=C[C@H]1c1cccc(O)c1,5.10790539730952
113,CHEMBL206249,6600,nM,CN(C(=O)N1CC(c2cc(F)ccc2F)=CC1c1cccc(O)c1)C1CCNCC1,5.18045606445813
114,CHEMBL206798,15000,nM,CN(CCO)C(=O)N1CC(c2cc(F)ccc2F)=C[C@H]1c1cccc(O)c1,4.82390874094432
115,CHEMBL381533,33000,nM,CN(C)C(=O)N1CC(c2cc(F)ccc2F)=C[C@H]1c1cccc(O)c1,4.48148606012211
116,CHEMBL262736,7800,nM,CC(C)(C)[C@H](O)C(=O)N1CC(c2cc(F)ccc2F)=C[C@H]1c1cccc(O)c1,5.10790539730952
117,CHEMBL377596,18000,nM,O=C([C@@H](O)C1CC1)N1CC(c2cc(F)ccc2F)=C[C@H]1c1cccc(O)c1,4.74472749489669
118,CHEMBL206115,5600,nM,N[C@H](C(=O)N1CC(c2cc(F)ccc2F)=C[C@H]1c1cccc(O)c1)C1CC1,5.2518119729938
119,CHEMBL381526,8500,nM,CC(C)[C@H](N)C(=O)N1CC(c2cc(F)ccc2F)=C[C@H]1c1cccc(O)c1,5.07058107428571
120,CHEMBL377734,16600,uM,O=C(NC1CC1)c1cc(NCc2cnc(Nc3ccccn3)s2)c(F)cc1F,4.77989191195995
121,CHEMBL534723,16000,uM,CCOc1ccccc1C[C@H](c1ccccc1)N1CCNCC1.Cl,4.79588001734408
122,CHEMBL206081,11.5,nM,COc1ccc2c(=O)cc(C(=O)NC3CCN(Cc4ccc5c(c4)OCO5)CC3)oc2c1,7.93930215964639
123,CHEMBL387417,5,nM,N#Cc1ccc2c(=O)cc(C(=O)NC3CCN(Cc4ccc5c(c4)OCO5)CC3)oc2c1,8.30102999566398
124,CHEMBL214021,15.1,nM,O=C(NC1CCN(Cc2ccc3c(c2)OCO3)CC1)c1cc(=O)c2ccc(F)cc2o1,7.82102305270683
125,CHEMBL217789,3.6,nM,O=C(NC1CCN(Cc2ccc3c(c2)OCO3)CC1)c1cc(=O)c2ccc(Cl)cc2o1,8.44369749923271
126,CHEMBL217706,2.5,nM,O=C(NC1CCN(Cc2ccc3c(c2)OCO3)CC1)c1cc(=O)c2ccc(Br)cc2o1,8.60205999132796
127,CHEMBL214377,7.4,nM,CCc1ccc2c(=O)cc(C(=O)NC3CCN(Cc4ccc5c(c4)OCO5)CC3)oc2c1,8.13076828026902
128,CHEMBL213715,3.6,nM,O=C(NC1CCN(Cc2ccc3c(c2)OCO3)CC1)c1cc(=O)c2ccc(OC(F)F)cc2o1,8.44369749923271
129,CHEMBL215631,63.7,nM,O=C(NC1CCN(Cc2ccc3c(c2)OCO3)CC1)c1cc(=O)c2ccc(O)cc2o1,7.19586056766465
130,CHEMBL214731,4,nM,O=C(NC1CCN(Cc2ccc3c(c2)OCO3)CC1)c1cc(=O)c2cc(F)ccc2o1,8.39794000867204
