,activity_id,assay_chembl_id,molecule_chembl_id,type,standard_units,relation,standard_value,target_chembl_id,target_organism,assay_description,assay_type,smiles,clint,units
14506,5200580,CHEMBL1670714,CHEMBL1615152,CL,mL.min-1.g-1,=,9.0,CHEMBL613373,Homo sapiens,Intrinsic clearance in human liver microsome assessed per mg of protein,A,O=C(O)c1ccc(NC(=O)[C@H](C2CCCCC2)n2c(-c3ccc(Cl)cc3)nc3cc(F)c(F)cc32)c(F)c1,0.009,mL.min-1.kg-1
14507,5200581,CHEMBL1670714,CHEMBL1668243,CL,mL.min-1.g-1,=,31.0,CHEMBL613373,Homo sapiens,Intrinsic clearance in human liver microsome assessed per mg of protein,A,O=C(O)c1ccc(NC(=O)[C@H](C2CCCCC2)n2c(-c3ccc(Cl)cc3)nc3cc(F)c(F)cc32)c(Cl)c1,0.031,mL.min-1.kg-1
14508,5200582,CHEMBL1670714,CHEMBL1615150,CL,mL.min-1.g-1,=,12.0,CHEMBL613373,Homo sapiens,Intrinsic clearance in human liver microsome assessed per mg of protein,A,Cc1cc(C(=O)O)ccc1NC(=O)[C@H](C1CCCCC1)n1c(-c2ccc(Cl)cc2)nc2cc(F)c(F)cc21,0.012,mL.min-1.kg-1
14509,5200583,CHEMBL1670714,CHEMBL1668249,CL,mL.min-1.g-1,=,0.0,CHEMBL613373,Homo sapiens,Intrinsic clearance in human liver microsome assessed per mg of protein,A,O=C(Nc1ccc(OC2(C(=O)O)CC2)cc1F)[C@H](C1CCCCC1)n1c(-c2ccc(Cl)cc2)nc2cc(F)c(F)cc21,0.0,mL.min-1.kg-1
14510,5200584,CHEMBL1670714,CHEMBL1668257,CL,mL.min-1.g-1,=,12.0,CHEMBL613373,Homo sapiens,Intrinsic clearance in human liver microsome assessed per mg of protein,A,O=C(Nc1ccc(-c2nnn[nH]2)cc1F)[C@H](C1CCCCC1)n1c(-c2ccc(Cl)cc2)nc2cc(F)c(F)cc21,0.012,mL.min-1.kg-1
14511,5200585,CHEMBL1670714,CHEMBL1668259,CL,mL.min-1.g-1,=,12.0,CHEMBL613373,Homo sapiens,Intrinsic clearance in human liver microsome assessed per mg of protein,A,O=C(O)c1ccc(NC(=O)[C@H](C2CCCCC2)n2c(-c3ccc(Cl)cc3)nc3ccccc32)c(C(F)(F)F)c1,0.012,mL.min-1.kg-1
14512,5200586,CHEMBL1670714,CHEMBL1668261,CL,mL.min-1.g-1,=,1.0,CHEMBL613373,Homo sapiens,Intrinsic clearance in human liver microsome assessed per mg of protein,A,COc1ccc(-c2nc3cc(F)c(F)cc3n2[C@H](C(=O)N[C@H]2CC[C@H](C(=O)O)CC2)C2CCCCC2)c(OC)n1,0.001,mL.min-1.kg-1
14513,5200587,CHEMBL1670714,CHEMBL1668262,CL,mL.min-1.g-1,=,4.0,CHEMBL613373,Homo sapiens,Intrinsic clearance in human liver microsome assessed per mg of protein,A,COc1ccc(-c2nc3cc(F)c(F)cc3n2[C@H](C(=O)N[C@H]2CC[C@H](C(=O)O)CC2)C2CCCCC2)c(Cl)n1,0.004,mL.min-1.kg-1
14584,5208877,CHEMBL1680467,CHEMBL1672535,CL,mL.min-1.g-1,=,55.0,CHEMBL613373,Homo sapiens,Intrinsic clearance in human liver microsomes assessed per mg of protein,A,Cc1ccc(Nc2ncc(-c3nc4ccccc4n3CC(C)C)cc2Cl)cn1,0.055,mL.min-1.kg-1
14585,5208878,CHEMBL1680467,CHEMBL1672538,CL,mL.min-1.g-1,=,56.0,CHEMBL613373,Homo sapiens,Intrinsic clearance in human liver microsomes assessed per mg of protein,A,CCCn1c(-c2cnc(Nc3ccc(C)nc3)c(Cl)c2)nc2ccc(Cl)cc21,0.056,mL.min-1.kg-1
14587,5208880,CHEMBL1680467,CHEMBL1672536,CL,mL.min-1.g-1,=,74.0,CHEMBL613373,Homo sapiens,Intrinsic clearance in human liver microsomes assessed per mg of protein,A,CCCn1c(-c2cnc(Nc3ccc(C)nc3)c(Cl)c2)nc2c(Cl)cccc21,0.074,mL.min-1.kg-1
14588,5208881,CHEMBL1680467,CHEMBL1672442,CL,mL.min-1.g-1,=,83.0,CHEMBL613373,Homo sapiens,Intrinsic clearance in human liver microsomes assessed per mg of protein,A,CCCn1c(-c2cnc(Nc3ccc(C)nc3)c(Cl)c2)nc2ccccc21,0.083,mL.min-1.kg-1
14589,5208882,CHEMBL1680467,CHEMBL1672539,CL,mL.min-1.g-1,=,83.0,CHEMBL613373,Homo sapiens,Intrinsic clearance in human liver microsomes assessed per mg of protein,A,CCCn1c(-c2cnc(Nc3ccc(C)nc3)c(Cl)c2)nc2cccc(Cl)c21,0.083,mL.min-1.kg-1
14592,5208885,CHEMBL1680467,CHEMBL1672443,CL,mL.min-1.g-1,=,120.0,CHEMBL613373,Homo sapiens,Intrinsic clearance in human liver microsomes assessed per mg of protein,A,CCn1c(-c2cnc(Nc3ccc(C)nc3)c(Cl)c2)nc2ccccc21,0.12,mL.min-1.kg-1
14595,5208888,CHEMBL1680467,CHEMBL1672444,CL,mL.min-1.g-1,=,347.0,CHEMBL613373,Homo sapiens,Intrinsic clearance in human liver microsomes assessed per mg of protein,A,CCCCn1c(-c2cnc(Nc3ccc(C)nc3)c(Cl)c2)nc2ccccc21,0.347,mL.min-1.kg-1
14596,5208889,CHEMBL1680467,CHEMBL1672537,CL,mL.min-1.g-1,=,400.0,CHEMBL613373,Homo sapiens,Intrinsic clearance in human liver microsomes assessed per mg of protein,A,CCCn1c(-c2cnc(Nc3ccc(C)nc3)c(Cl)c2)nc2cc(Cl)ccc21,0.4,mL.min-1.kg-1
14610,5215084,CHEMBL1676010,CHEMBL376140,CL,mL.min-1.kg-1,=,4.667,CHEMBL613424,Homo sapiens,"Clearance at steady state in plasma of diabetic patient with chronic wound infection at 100 mg/kg, iv loading dose followed by 50 mg/kg, iv BID for 2 to 3 doses by microdialysis",A,CN(C)c1cc(NC(=O)CNC(C)(C)C)c(O)c2c1C[C@H]1C[C@H]3[C@H](N(C)C)C(O)=C(C(N)=O)C(=O)[C@@]3(O)C(O)=C1C2=O,4.667,mL.min-1.kg-1
14633,5228949,CHEMBL1675511,CHEMBL259011,CL,mL.min-1.g-1,=,11.0,CHEMBL613373,Homo sapiens,Intrinsic clearance in human liver microsome,A,COc1cccc2c1c(C(=O)/C=C(\O)C(=O)O)cn2Cc1ccc(F)cc1,0.011,mL.min-1.kg-1
14661,5236075,CHEMBL1686220,CHEMBL1683447,CL,mL.min-1.g-1,=,6.9,CHEMBL613373,Homo sapiens,Intrinsic clearance in human liver microsomes,A,C[C@@H](C[C@@](C)(CS(=O)(=O)N1CCC(CCc2ccc(Cl)cc2Cl)CC1)N(O)C=O)c1ncc(F)cn1,0.006900000000000001,mL.min-1.kg-1
14668,5236102,CHEMBL1686220,CHEMBL1683446,CL,mL.min-1.g-1,=,54.0,CHEMBL613373,Homo sapiens,Intrinsic clearance in human liver microsomes,A,C[C@@H](C[C@@](C)(CS(=O)(=O)N1CCN(CCc2ccc(Cl)cc2Cl)CC1)N(O)C=O)c1ncc(F)cn1,0.054,mL.min-1.kg-1
14670,5236105,CHEMBL1686220,CHEMBL1615186,CL,mL.min-1.g-1,=,107.0,CHEMBL613373,Homo sapiens,Intrinsic clearance in human liver microsomes,A,C[C@@H](C[C@@](C)(CS(=O)(=O)N1CCC(OCc2ccc(Cl)cc2Cl)CC1)N(O)C=O)c1ncc(F)cn1,0.107,mL.min-1.kg-1
14674,5237481,CHEMBL1687435,CHEMBL1682939,CL,mL.min-1.g-1,=,23.0,CHEMBL613373,Homo sapiens,Intrinsic clearance in human liver microsomes assessed per mg of protein,A,CC[C@H](NC(=O)c1c([S@+](C)[O-])c(-c2ccccc2)nc2ccccc12)c1ccccc1,0.023,mL.min-1.kg-1
14675,5237482,CHEMBL1687435,CHEMBL1682942,CL,mL.min-1.g-1,=,5.2,CHEMBL613373,Homo sapiens,Intrinsic clearance in human liver microsomes assessed per mg of protein,A,CC[C@H](NC(=O)c1c(C[S@@+](C)[O-])c(-c2ccccc2)nc2ccccc12)c1ccccc1,0.0052,mL.min-1.kg-1
14676,5237483,CHEMBL1687435,CHEMBL1682943,CL,mL.min-1.g-1,=,8.4,CHEMBL613373,Homo sapiens,Intrinsic clearance in human liver microsomes assessed per mg of protein,A,CC[C@H](NC(=O)c1c(C[S@+](C)[O-])c(-c2ccccc2)nc2ccccc12)c1ccccc1,0.008400000000000001,mL.min-1.kg-1
14679,5237500,CHEMBL1687435,CHEMBL1682949,CL,mL.min-1.g-1,=,220.0,CHEMBL613373,Homo sapiens,Intrinsic clearance in human liver microsomes assessed per mg of protein,A,CC[C@H](NC(=O)c1c([S+](C)[O-])c(-c2cccs2)nc2ccccc12)c1ccccc1,0.22,mL.min-1.kg-1
14680,5237501,CHEMBL1687435,CHEMBL1682950,CL,mL.min-1.g-1,=,190.0,CHEMBL613373,Homo sapiens,Intrinsic clearance in human liver microsomes assessed per mg of protein,A,CC[C@H](NC(=O)c1c([S+](C)[O-])c(-c2ccsc2)nc2ccccc12)c1ccccc1,0.19,mL.min-1.kg-1
14681,5238495,CHEMBL1686741,CHEMBL1683943,CL,mL.min-1.kg-1,=,42.4,CHEMBL613373,Homo sapiens,Intrinsic clearance in human liver microsomes,A,CC1(OC(=O)N2CCC([C@H](F)CNC(=O)Cc3c(F)ccc(F)c3F)CC2)CC1,42.4,mL.min-1.kg-1
14682,5238496,CHEMBL1686741,CHEMBL1683944,CL,mL.min-1.kg-1,=,230.0,CHEMBL613373,Homo sapiens,Intrinsic clearance in human liver microsomes,A,CC(CNC(=O)Cc1c(F)ccc(F)c1F)C1CCN(C(=O)OC(C)(C)C)CC1,230.0,mL.min-1.kg-1
14683,5238497,CHEMBL1686741,CHEMBL1683945,CL,mL.min-1.kg-1,=,136.0,CHEMBL613373,Homo sapiens,Intrinsic clearance in human liver microsomes,A,CC(CNC(=O)Cc1ccc(S(C)(=O)=O)cc1)C1CCN(C(=O)OC(C)(C)C)CC1,136.0,mL.min-1.kg-1
14684,5238504,CHEMBL1686741,CHEMBL1684036,CL,mL.min-1.kg-1,=,247.0,CHEMBL613373,Homo sapiens,Intrinsic clearance in human liver microsomes,A,CC(CNC(=O)Cc1ccccc1)C1CCN(C(=O)OC(C)(C)C)CC1,247.0,mL.min-1.kg-1
14685,5238505,CHEMBL1686741,CHEMBL1684037,CL,mL.min-1.kg-1,=,205.0,CHEMBL613373,Homo sapiens,Intrinsic clearance in human liver microsomes,A,CC(C)OC(=O)N1CCC(C(C)CNC(=O)Cc2c(F)ccc(F)c2F)CC1,205.0,mL.min-1.kg-1
14686,5238507,CHEMBL1686741,CHEMBL2092875,CL,mL.min-1.kg-1,=,187.0,CHEMBL613373,Homo sapiens,Intrinsic clearance in human liver microsomes,A,C[C@@H](CNC(=O)Cc1c(F)ccc(F)c1F)C1CCN(C(=O)OC2(C)CC2)CC1,187.0,mL.min-1.kg-1
14687,5238509,CHEMBL1686741,CHEMBL1684040,CL,mL.min-1.kg-1,=,63.8,CHEMBL613373,Homo sapiens,Intrinsic clearance in human liver microsomes,A,CC1(OC(=O)N2CCC([C@@H](F)CNC(=O)Cc3c(F)ccc(F)c3F)CC2)CC1,63.8,mL.min-1.kg-1
14705,5240831,CHEMBL1685335,CHEMBL1683557,CL,mL.min-1.g-1,=,85000.0,CHEMBL613373,Homo sapiens,Intrinsic clearance in human liver microsomes,A,N[C@H]1CN(c2cc(-c3cc(F)cc(F)c3F)ncn2)C[C@@H]1c1ccccc1,85.0,mL.min-1.kg-1
14706,5240834,CHEMBL1685335,CHEMBL1683560,CL,mL.min-1.g-1,=,56000.0,CHEMBL613373,Homo sapiens,Intrinsic clearance in human liver microsomes,A,N[C@H]1CN(c2cc(N3CCc4nocc4C3)ncn2)C[C@@H]1c1ccccc1,56.0,mL.min-1.kg-1
