,activity_id,assay_chembl_id,molecule_chembl_id,type,standard_units,relation,standard_value,target_chembl_id,target_organism,assay_description,assay_type,smiles,clint,units
22207,12667029,CHEMBL2342641,CHEMBL2335911,CL,mL.min-1.g-1,=,11.0,CHEMBL613373,Homo sapiens,Intrinsic clearance in human liver microsomes using NADPH as cofactor at 1 uM incubated for 5 mins prior to NADPH addition measured up to 120 mins by LCMS/MS analysis,A,CC(=O)N[C@H](C)c1ccc(Nc2ncc3cc(-c4ccncc4)c(C)cc3n2)cc1,0.011,mL.min-1.kg-1
22208,12667030,CHEMBL2342641,CHEMBL2335910,CL,mL.min-1.g-1,=,39.0,CHEMBL613373,Homo sapiens,Intrinsic clearance in human liver microsomes using NADPH as cofactor at 1 uM incubated for 5 mins prior to NADPH addition measured up to 120 mins by LCMS/MS analysis,A,CC(=O)N[C@H](C)c1ccc(Nc2ncc3cc(-c4ccncc4)cc(Cl)c3n2)cc1,0.039,mL.min-1.kg-1
22209,12667031,CHEMBL2342641,CHEMBL2335909,CL,mL.min-1.g-1,=,8.0,CHEMBL613373,Homo sapiens,Intrinsic clearance in human liver microsomes using NADPH as cofactor at 1 uM incubated for 5 mins prior to NADPH addition measured up to 120 mins by LCMS/MS analysis,A,CC(=O)N[C@H](C)c1ccc(Nc2ncc3cc(-c4ccncc4)c(Cl)cc3n2)cc1,0.008,mL.min-1.kg-1
22210,12667033,CHEMBL2342641,CHEMBL2335907,CL,mL.min-1.g-1,=,8.0,CHEMBL613373,Homo sapiens,Intrinsic clearance in human liver microsomes using NADPH as cofactor at 1 uM incubated for 5 mins prior to NADPH addition measured up to 120 mins by LCMS/MS analysis,A,COc1cc(-c2ccncc2)cc2cnc(Nc3ccc([C@@H](C)NC(C)=O)cc3)nc12,0.008,mL.min-1.kg-1
22211,12667034,CHEMBL2342641,CHEMBL2335906,CL,mL.min-1.g-1,=,10.0,CHEMBL613373,Homo sapiens,Intrinsic clearance in human liver microsomes using NADPH as cofactor at 1 uM incubated for 5 mins prior to NADPH addition measured up to 120 mins by LCMS/MS analysis,A,C[C@@H](NC1=CC(=O)CNC1)c1ccc(Nc2ncc3cc(-c4ccncc4)ccc3n2)cc1,0.01,mL.min-1.kg-1
22212,12667036,CHEMBL2342641,CHEMBL2335904,CL,mL.min-1.g-1,=,13.0,CHEMBL613373,Homo sapiens,Intrinsic clearance in human liver microsomes using NADPH as cofactor at 1 uM incubated for 5 mins prior to NADPH addition measured up to 120 mins by LCMS/MS analysis,A,C[C@@H](NC1=CC(=O)CC1)c1ccc(Nc2ncc3cc(-c4ccncc4)ccc3n2)cc1,0.013,mL.min-1.kg-1
22213,12667037,CHEMBL2342641,CHEMBL2335903,CL,mL.min-1.g-1,=,35.0,CHEMBL613373,Homo sapiens,Intrinsic clearance in human liver microsomes using NADPH as cofactor at 1 uM incubated for 5 mins prior to NADPH addition measured up to 120 mins by LCMS/MS analysis,A,C[C@@H](NC1=CC(=O)CCC1)c1ccc(Nc2ncc3cc(-c4ccncc4)ccc3n2)cc1,0.035,mL.min-1.kg-1
22214,12667038,CHEMBL2342641,CHEMBL2335902,CL,mL.min-1.g-1,=,53.0,CHEMBL613373,Homo sapiens,Intrinsic clearance in human liver microsomes using NADPH as cofactor at 1 uM incubated for 5 mins prior to NADPH addition measured up to 120 mins by LCMS/MS analysis,A,C[C@@H](NC(=O)[C@H]1CCCN1)c1ccc(Nc2ncc3cc(-c4ccncc4)ccc3n2)cc1,0.053,mL.min-1.kg-1
22215,12667039,CHEMBL2342641,CHEMBL2335901,CL,mL.min-1.g-1,=,27.0,CHEMBL613373,Homo sapiens,Intrinsic clearance in human liver microsomes using NADPH as cofactor at 1 uM incubated for 5 mins prior to NADPH addition measured up to 120 mins by LCMS/MS analysis,A,C[C@@H](NC(=O)C1CCNCC1)c1ccc(Nc2ncc3cc(-c4ccncc4)ccc3n2)cc1,0.027,mL.min-1.kg-1
22216,12667040,CHEMBL2342641,CHEMBL2335900,CL,mL.min-1.g-1,=,16.0,CHEMBL613373,Homo sapiens,Intrinsic clearance in human liver microsomes using NADPH as cofactor at 1 uM incubated for 5 mins prior to NADPH addition measured up to 120 mins by LCMS/MS analysis,A,C[C@@H](NC(=O)[C@H]1CCCNC1)c1ccc(Nc2ncc3cc(-c4ccncc4)ccc3n2)cc1,0.016,mL.min-1.kg-1
22217,12667043,CHEMBL2342641,CHEMBL2335897,CL,mL.min-1.g-1,=,49.0,CHEMBL613373,Homo sapiens,Intrinsic clearance in human liver microsomes using NADPH as cofactor at 1 uM incubated for 5 mins prior to NADPH addition measured up to 120 mins by LCMS/MS analysis,A,C[C@@H](NC(=O)[C@H]1CCCCN1)c1ccc(Nc2ncc3cc(-c4ccncc4)ccc3n2)cc1,0.049,mL.min-1.kg-1
22218,12669806,CHEMBL2342641,CHEMBL2335896,CL,mL.min-1.g-1,=,22.0,CHEMBL613373,Homo sapiens,Intrinsic clearance in human liver microsomes using NADPH as cofactor at 1 uM incubated for 5 mins prior to NADPH addition measured up to 120 mins by LCMS/MS analysis,A,CC(=O)N[C@H](C)c1ccc(Nc2ncc3cc(-c4ccncc4)ccc3n2)cc1,0.022,mL.min-1.kg-1
22219,12669807,CHEMBL2342641,CHEMBL2335895,CL,mL.min-1.g-1,=,18.0,CHEMBL613373,Homo sapiens,Intrinsic clearance in human liver microsomes using NADPH as cofactor at 1 uM incubated for 5 mins prior to NADPH addition measured up to 120 mins by LCMS/MS analysis,A,CC(=O)NC(C)c1ccc(Nc2ncc3cc(-c4ccncc4)ccc3n2)cc1,0.018,mL.min-1.kg-1
22220,12669808,CHEMBL2342641,CHEMBL2335894,CL,mL.min-1.g-1,=,110.0,CHEMBL613373,Homo sapiens,Intrinsic clearance in human liver microsomes using NADPH as cofactor at 1 uM incubated for 5 mins prior to NADPH addition measured up to 120 mins by LCMS/MS analysis,A,COCCC(=O)N[C@@H](C)c1ccc(Nc2ncc3cc(-c4ccncc4)ccc3n2)cc1,0.11,mL.min-1.kg-1
22221,12669809,CHEMBL2342641,CHEMBL2335893,CL,mL.min-1.g-1,=,57.0,CHEMBL613373,Homo sapiens,Intrinsic clearance in human liver microsomes using NADPH as cofactor at 1 uM incubated for 5 mins prior to NADPH addition measured up to 120 mins by LCMS/MS analysis,A,COCCC(=O)N[C@H](C)c1ccc(Nc2ncc3cc(-c4ccncc4)ccc3n2)cc1,0.057,mL.min-1.kg-1
22222,12669810,CHEMBL2342641,CHEMBL2335892,CL,mL.min-1.g-1,=,76.0,CHEMBL613373,Homo sapiens,Intrinsic clearance in human liver microsomes using NADPH as cofactor at 1 uM incubated for 5 mins prior to NADPH addition measured up to 120 mins by LCMS/MS analysis,A,COCCC(=O)NC(C)c1ccc(Nc2ncc3cc(-c4ccncc4)ccc3n2)cc1,0.076,mL.min-1.kg-1
22223,12669811,CHEMBL2342641,CHEMBL2335891,CL,mL.min-1.g-1,=,32.0,CHEMBL613373,Homo sapiens,Intrinsic clearance in human liver microsomes using NADPH as cofactor at 1 uM incubated for 5 mins prior to NADPH addition measured up to 120 mins by LCMS/MS analysis,A,COCCNC(C)c1ccc(Nc2ncc3cc(-c4ccncc4)ccc3n2)cc1,0.032,mL.min-1.kg-1
22224,12669812,CHEMBL2342641,CHEMBL2335890,CL,mL.min-1.g-1,=,100.0,CHEMBL613373,Homo sapiens,Intrinsic clearance in human liver microsomes using NADPH as cofactor at 1 uM incubated for 5 mins prior to NADPH addition measured up to 120 mins by LCMS/MS analysis,A,COCCN(C)c1ccc(Nc2ncc3cc(-c4ccncc4)ccc3n2)cc1,0.1,mL.min-1.kg-1
22266,12673607,CHEMBL2341372,CHEMBL2334766,CL,mL.min-1.kg-1,=,17.0,CHEMBL613373,Homo sapiens,Clearance in human liver microsomes,A,CCNC(=O)Nc1ccc(-c2nc3c(c(N4CCOC[C@@H]4C)n2)C[C@@H]2CC[C@H]3N2C(=O)COC)cc1,17.0,mL.min-1.kg-1
22267,12673608,CHEMBL2341372,CHEMBL2334765,CL,mL.min-1.kg-1,=,15.0,CHEMBL613373,Homo sapiens,Clearance in human liver microsomes,A,CCNC(=O)Nc1ccc(-c2nc3c(c(N4CCOC[C@@H]4C)n2)C[C@@H]2CC[C@H]3N2C(C)=O)cc1,15.0,mL.min-1.kg-1
22268,12673609,CHEMBL2341372,CHEMBL2334764,CL,mL.min-1.kg-1,=,11.0,CHEMBL613373,Homo sapiens,Clearance in human liver microsomes,A,CCNC(=O)Nc1ccc(-c2nc3c(c(N4CCOC[C@@H]4C)n2)C[C@@H]2CC[C@H]3N2S(C)(=O)=O)cc1,11.0,mL.min-1.kg-1
22269,12673610,CHEMBL2341372,CHEMBL2334763,CL,mL.min-1.kg-1,=,14.0,CHEMBL613373,Homo sapiens,Clearance in human liver microsomes,A,CCNC(=O)Nc1ccc(-c2nc3c(c(N4CCOC[C@@H]4C)n2)C[C@@H]2CC[C@H]3N2C2COC2)cc1,14.0,mL.min-1.kg-1
22270,12673611,CHEMBL2341372,CHEMBL2334761,CL,mL.min-1.kg-1,=,14.0,CHEMBL613373,Homo sapiens,Clearance in human liver microsomes,A,CCNC(=O)Nc1ccc(-c2nc3c(c(N4CCOC[C@@H]4C)n2)C[C@@H]2CC[C@H]3N2C)cc1,14.0,mL.min-1.kg-1
22271,12673612,CHEMBL2341372,CHEMBL2334754,CL,mL.min-1.kg-1,=,15.0,CHEMBL613373,Homo sapiens,Clearance in human liver microsomes,A,CCNC(=O)Nc1ccc(-c2nc3c(c(N4CCOC[C@@H]4C)n2)[C@@H]2CC[C@H](C3)N2C)cc1,15.0,mL.min-1.kg-1
22272,12673613,CHEMBL2341372,CHEMBL2334753,CL,mL.min-1.kg-1,=,12.0,CHEMBL613373,Homo sapiens,Clearance in human liver microsomes,A,CCNC(=O)Nc1ccc(-c2nc3c(c(N4CCOC[C@@H]4C)n2)[C@H]2CC[C@@H](C3)N2C)cc1,12.0,mL.min-1.kg-1
22289,12679762,CHEMBL2346302,CHEMBL1521,CL,mL.min-1.kg-1,=,16.0,CHEMBL372,Homo sapiens,Plasma clearance in iv dosed human,A,CCN(C(C)=O)c1cccc(-c2ccnc3c(C#N)cnn23)c1,16.0,mL.min-1.kg-1
22290,12679763,CHEMBL2346302,CHEMBL355862,CL,mL.min-1.kg-1,=,21.0,CHEMBL372,Homo sapiens,Plasma clearance in iv dosed human,A,N=C(N)NC(=O)c1cnn(-c2cccc3ncccc23)c1C1CC1,21.0,mL.min-1.kg-1
22291,12679764,CHEMBL2346302,CHEMBL77131,CL,mL.min-1.kg-1,=,38.0,CHEMBL372,Homo sapiens,Plasma clearance in iv dosed human,A,CCNC(=O)OC1CCN(c2nncc3cc(OC)c(OC)cc23)CC1,38.0,mL.min-1.kg-1
22325,12682399,CHEMBL2346313,CHEMBL2331668,CL,mL.min-1.kg-1,=,22.6,CHEMBL613373,Homo sapiens,Intrinsic clearance in human liver microsomes,A,CC(=O)N1CCC(n2c(=O)n(C)c3cnc4ccc(-c5cnc6[nH]ncc6c5)nc4c32)CC1,22.6,mL.min-1.kg-1
22326,12682401,CHEMBL2346313,CHEMBL2331666,CL,mL.min-1.kg-1,=,17.9,CHEMBL613373,Homo sapiens,Intrinsic clearance in human liver microsomes,A,COCC(=O)N1CCC(n2c(=O)n(C)c3cnc4ccc(-c5ccc(C)nc5)nc4c32)CC1,17.9,mL.min-1.kg-1
22327,12682402,CHEMBL2346313,CHEMBL2331665,CL,mL.min-1.kg-1,=,10.7,CHEMBL613373,Homo sapiens,Intrinsic clearance in human liver microsomes,A,Cc1ccc(-c2ccc3ncc4c(c3n2)n(C2CCN(C(=O)C(C)(C)O)CC2)c(=O)n4C)cn1,10.7,mL.min-1.kg-1
22328,12682407,CHEMBL2346313,CHEMBL2331660,CL,mL.min-1.kg-1,=,22.5,CHEMBL613373,Homo sapiens,Intrinsic clearance in human liver microsomes,A,COc1ccc(-c2ccc3ncc4c(c3n2)n(C2CCN(C)CC2)c(=O)n4C)cn1,22.5,mL.min-1.kg-1
22329,12682408,CHEMBL2346313,CHEMBL2331659,CL,mL.min-1.kg-1,=,23.0,CHEMBL613373,Homo sapiens,Intrinsic clearance in human liver microsomes,A,COc1ccc(-c2ccc3ncc4c(c3n2)n([C@H]2CC[C@H](O)CC2)c(=O)n4C)cn1,23.0,mL.min-1.kg-1
22330,12682409,CHEMBL2346313,CHEMBL2331658,CL,mL.min-1.kg-1,=,27.6,CHEMBL613373,Homo sapiens,Intrinsic clearance in human liver microsomes,A,COc1ccc(-c2ccc3ncc4c(c3n2)n([C@H]2CC[C@H](OCCO)CC2)c(=O)n4C)cn1,27.6,mL.min-1.kg-1
22331,12682410,CHEMBL2346313,CHEMBL2331657,CL,mL.min-1.kg-1,=,31.8,CHEMBL613373,Homo sapiens,Intrinsic clearance in human liver microsomes,A,COc1ccc(-c2ccc3ncc4c(c3n2)n(-c2ccc(C(C)(C)C#N)cc2)c(=O)n4C)cn1,31.8,mL.min-1.kg-1
22341,12683203,CHEMBL2341226,CHEMBL2334847,CL,mL.min-1.g-1,=,9.0,CHEMBL613373,Homo sapiens,Apparent intrinsic clearance in human liver microsomes,A,COC(=O)c1nc(Cn2c(=O)n(C3CC3)c3ccncc32)n(CCCCO)c1C,0.009,mL.min-1.kg-1
22342,12683204,CHEMBL2341226,CHEMBL2331590,CL,mL.min-1.g-1,=,9.0,CHEMBL613373,Homo sapiens,Apparent intrinsic clearance in human liver microsomes,A,COCc1cn(CCCCO)c(Cn2c(=O)n(C3CC3)c3ccncc32)n1,0.009,mL.min-1.kg-1
22343,12683206,CHEMBL2341226,CHEMBL2334845,CL,mL.min-1.g-1,=,65.0,CHEMBL613373,Homo sapiens,Apparent intrinsic clearance in human liver microsomes,A,O=c1n(Cc2nc3c(n2CCCCO)CCCC3)c2cnccc2n1C1CC1,0.065,mL.min-1.kg-1
22344,12683215,CHEMBL2341226,CHEMBL2335215,CL,mL.min-1.g-1,=,10.0,CHEMBL613373,Homo sapiens,Apparent intrinsic clearance in human liver microsomes,A,Cc1ncc(CCn2cc(-c3cccnc3)nc2Cn2c(=O)n(C3CC3)c3ccncc32)o1,0.01,mL.min-1.kg-1
22345,12683217,CHEMBL2341226,CHEMBL2335213,CL,mL.min-1.g-1,=,32.0,CHEMBL613373,Homo sapiens,Apparent intrinsic clearance in human liver microsomes,A,Cc1ccc(CCn2cc(-c3cccnc3)nc2Cn2c(=O)n(C3CC3)c3ccncc32)cn1,0.032,mL.min-1.kg-1
22346,12683218,CHEMBL2341226,CHEMBL2335212,CL,mL.min-1.g-1,=,17.0,CHEMBL613373,Homo sapiens,Apparent intrinsic clearance in human liver microsomes,A,Cc1cc(CCn2cc(-c3cccnc3)nc2Cn2c(=O)n(C3CC3)c3ccncc32)no1,0.017,mL.min-1.kg-1
22347,12683219,CHEMBL2341226,CHEMBL2335211,CL,mL.min-1.g-1,=,58.0,CHEMBL613373,Homo sapiens,Apparent intrinsic clearance in human liver microsomes,A,CC(C)n1nc(CCn2c(CCCO)nc3ccccc32)c2cnccc21,0.058,mL.min-1.kg-1
22348,12683220,CHEMBL2341226,CHEMBL2335210,CL,mL.min-1.g-1,=,242.0,CHEMBL613373,Homo sapiens,Apparent intrinsic clearance in human liver microsomes,A,CC(C)n1nc(CCn2nc(CCCCO)c3ccccc32)c2cnccc21,0.242,mL.min-1.kg-1
22349,12683223,CHEMBL2341226,CHEMBL2334852,CL,mL.min-1.g-1,=,462.0,CHEMBL613373,Homo sapiens,Apparent intrinsic clearance in human liver microsomes,A,CC(C)n1nc(Cn2c(=O)c3ccccc3n2CCCCO)c2ccccc21,0.462,mL.min-1.kg-1
22350,12683224,CHEMBL2341226,CHEMBL2334851,CL,mL.min-1.g-1,=,78.0,CHEMBL613373,Homo sapiens,Apparent intrinsic clearance in human liver microsomes,A,CC(C)n1nc(Cn2nc3ccccc3c2CCCO)c2ccccc21,0.078,mL.min-1.kg-1
22351,12683226,CHEMBL2341226,CHEMBL2334849,CL,mL.min-1.g-1,=,246.0,CHEMBL613373,Homo sapiens,Apparent intrinsic clearance in human liver microsomes,A,CC(C)n1nc(Cn2nc3ccccc3c2OCCCO)c2ccccc21,0.246,mL.min-1.kg-1
22352,12683227,CHEMBL2341226,CHEMBL2335227,CL,mL.min-1.g-1,=,11.0,CHEMBL613373,Homo sapiens,Apparent intrinsic clearance in human liver microsomes,A,CC(=O)N1CCC(Cn2nc3ccccc3c2CCCCO)CC1,0.011,mL.min-1.kg-1
22353,12683228,CHEMBL2341226,CHEMBL2335226,CL,mL.min-1.g-1,=,110.0,CHEMBL613373,Homo sapiens,Apparent intrinsic clearance in human liver microsomes,A,COC(=O)N1CCC(n2ccc(Cc3nc4ccccc4n3CCCCO)n2)CC1,0.11,mL.min-1.kg-1
22354,12683229,CHEMBL2341226,CHEMBL2335225,CL,mL.min-1.g-1,=,15.0,CHEMBL613373,Homo sapiens,Apparent intrinsic clearance in human liver microsomes,A,COC(=O)N1CCC(n2c(=O)n(Cc3nc(C)c(C)n3CCCCO)c3cnccc32)CC1,0.015,mL.min-1.kg-1
22355,12683230,CHEMBL2341226,CHEMBL2335224,CL,mL.min-1.g-1,=,44.0,CHEMBL613373,Homo sapiens,Apparent intrinsic clearance in human liver microsomes,A,COC(=O)N1CCC(n2c(=O)n(Cc3nc4ccccc4n3CCCCO)c3ccccc32)CC1,0.044,mL.min-1.kg-1
22406,12699491,CHEMBL2340876,CHEMBL2332930,CL,mL.min-1.g-1,=,55.0,CHEMBL613373,Homo sapiens,Clearance in human liver microsomes,A,COc1ccc(NC(C)=O)c(OC[C@@H](O)CN2CCC3(CC2)Cc2cc(Cl)ccc2O3)c1,0.055,mL.min-1.kg-1
22408,12699493,CHEMBL2340876,CHEMBL2332934,CL,mL.min-1.g-1,=,25.5,CHEMBL613373,Homo sapiens,Clearance in human liver microsomes,A,CC(=O)Nc1ccccc1OC[C@@H](O)CN1CCC2(CC1)Cc1cc(F)ccc1O2,0.0255,mL.min-1.kg-1
22409,12699494,CHEMBL2340876,CHEMBL2332939,CL,mL.min-1.g-1,=,18.8,CHEMBL613373,Homo sapiens,Clearance in human liver microsomes,A,COc1ccc(NC(C)=O)c(OC[C@@H](N)CN2CCC3(CC2)Cc2ccccc2O3)c1,0.0188,mL.min-1.kg-1
22410,12699495,CHEMBL2340876,CHEMBL2332933,CL,mL.min-1.g-1,=,17.8,CHEMBL613373,Homo sapiens,Clearance in human liver microsomes,A,CC(=O)Nc1ccc(F)cc1OC[C@@H](O)CN1CCC2(CC1)Cc1cc(F)ccc1O2,0.0178,mL.min-1.kg-1
22411,12699496,CHEMBL2340876,CHEMBL2332938,CL,mL.min-1.g-1,=,17.4,CHEMBL613373,Homo sapiens,Clearance in human liver microsomes,A,COc1ccc(NC(C)=O)c(OC[C@@H](N)CN2CCC3(CC2)Cc2cc(F)ccc2O3)c1,0.0174,mL.min-1.kg-1
22413,12699498,CHEMBL2340876,CHEMBL2332931,CL,mL.min-1.g-1,=,13.5,CHEMBL613373,Homo sapiens,Clearance in human liver microsomes,A,CC(=O)Nc1ccc(F)cc1OC[C@@H](O)CN1CCC2(CC1)Cc1cc(Cl)ccc1O2,0.0135,mL.min-1.kg-1
22414,12699499,CHEMBL2340876,CHEMBL2332937,CL,mL.min-1.g-1,=,12.6,CHEMBL613373,Homo sapiens,Clearance in human liver microsomes,A,COc1ccc(NC(C)=O)c(OC[C@@H](N)CN2CCC3(CC2)Cc2cc(Cl)ccc2O3)c1,0.0126,mL.min-1.kg-1
22415,12700573,CHEMBL2344012,CHEMBL45816,CL,mL.min-1.g-1,=,56.5,CHEMBL613373,Homo sapiens,Intrinsic clearance in human liver microsomes at 1 mg/ml after 45 mins,A,COCC(=O)O[C@]1(CCN(C)CCCc2nc3ccccc3[nH]2)CCc2cc(F)ccc2[C@@H]1C(C)C,0.0565,mL.min-1.kg-1
22417,12700615,CHEMBL2344012,CHEMBL2337981,CL,mL.min-1.g-1,=,7.0,CHEMBL613373,Homo sapiens,Intrinsic clearance in human liver microsomes at 1 mg/ml after 45 mins,A,CC(C)(C)NC(=O)NCCN1CCC(CO)(CNC(=O)c2cc(Cl)cc(Cl)c2)CC1,0.007,mL.min-1.kg-1
22418,12700616,CHEMBL2344012,CHEMBL2337980,CL,mL.min-1.g-1,=,6.0,CHEMBL613373,Homo sapiens,Intrinsic clearance in human liver microsomes at 1 mg/ml after 45 mins,A,CC(C)(C)NC(=O)NCCN1CCC(O)(CNC(=O)c2cc(Cl)cc(Cl)c2)CC1,0.006,mL.min-1.kg-1
22419,12700617,CHEMBL2344012,CHEMBL2337979,CL,mL.min-1.g-1,=,48.0,CHEMBL613373,Homo sapiens,Intrinsic clearance in human liver microsomes at 1 mg/ml after 45 mins,A,CC(C)(C)NC(=O)NCCN1CCCC(NC(=O)c2cc(Cl)cc(Cl)c2)C1,0.048,mL.min-1.kg-1
22420,12700618,CHEMBL2344012,CHEMBL2337978,CL,mL.min-1.g-1,=,15.0,CHEMBL613373,Homo sapiens,Intrinsic clearance in human liver microsomes at 1 mg/ml after 45 mins,A,CC(C)(C)NC(=O)NCCN1CCC(NC(=O)c2cc(Cl)cc(Cl)c2)C1,0.015,mL.min-1.kg-1
22421,12700619,CHEMBL2344012,CHEMBL2337977,CL,mL.min-1.g-1,=,4.0,CHEMBL613373,Homo sapiens,Intrinsic clearance in human liver microsomes at 1 mg/ml after 45 mins,A,CC(C)(C)NC(=O)NCCN1CC(NC(=O)c2cc(Cl)cc(Cl)c2)C1,0.004,mL.min-1.kg-1
22422,12700621,CHEMBL2344012,CHEMBL2338408,CL,mL.min-1.g-1,=,47.0,CHEMBL613373,Homo sapiens,Intrinsic clearance in human liver microsomes at 1 mg/ml after 45 mins,A,CC(C)(C)NC(=O)NCCN1CCOC(CNC(=O)c2cc(Cl)cc(Cl)c2)C1,0.047,mL.min-1.kg-1
22423,12700622,CHEMBL2344012,CHEMBL2338407,CL,mL.min-1.g-1,=,16.0,CHEMBL613373,Homo sapiens,Intrinsic clearance in human liver microsomes at 1 mg/ml after 45 mins,A,CC(C)(C)NC(=O)NCCN1CCCC(CNC(=O)c2cc(Cl)cc(Cl)c2)C1,0.016,mL.min-1.kg-1
22424,12700624,CHEMBL2344012,CHEMBL2338405,CL,mL.min-1.g-1,=,29.0,CHEMBL613373,Homo sapiens,Intrinsic clearance in human liver microsomes at 1 mg/ml after 45 mins,A,CC(C)(C)NC(=O)NCCN1CCN(CC(=O)Nc2cc(Cl)cc(Cl)c2)CC1,0.029,mL.min-1.kg-1
22425,12700625,CHEMBL2344012,CHEMBL2338400,CL,mL.min-1.g-1,=,100.0,CHEMBL613373,Homo sapiens,Intrinsic clearance in human liver microsomes at 1 mg/ml after 45 mins,A,CC(C)(C)NC(=O)NCCN1CCN(CC(=O)NC23CC4CC(CC(C4)C2)C3)CC1,0.1,mL.min-1.kg-1
22440,12707222,CHEMBL2343384,CHEMBL2336238,CL,mL.min-1.g-1,=,98.0,CHEMBL613373,Homo sapiens,Intrinsic clearance in human liver microsomes,A,COc1cccc(-n2nnc(C3CC3)c2C(=O)N(C)c2ccc(C#N)cc2)c1,0.098,mL.min-1.kg-1
22441,12707223,CHEMBL2343384,CHEMBL2331648,CL,mL.min-1.g-1,=,184.0,CHEMBL613373,Homo sapiens,Intrinsic clearance in human liver microsomes,A,CCNc1nc2c(c(C(N)=O)n1)CN(C(=O)CCc1ccc(OC(F)(F)F)cc1)CC2,0.184,mL.min-1.kg-1
22442,12707225,CHEMBL2343384,CHEMBL2331604,CL,mL.min-1.g-1,=,76.0,CHEMBL613373,Homo sapiens,Intrinsic clearance in human liver microsomes,A,Cc1nn(C)c(Oc2cccc(Cl)c2Cl)c1C(=O)N(Cc1cncs1)C(C)C,0.076,mL.min-1.kg-1
22480,12720312,CHEMBL2349995,CHEMBL2347110,CL,mL.min-1.g-1,=,26.0,CHEMBL613373,Homo sapiens,Intrinsic apparent clearance in human liver microsomes,A,COc1cc2c(cc1Cc1ccccc1)C[C@H](N)C(=O)N2O,0.026,mL.min-1.kg-1
22486,12724935,CHEMBL2352576,CHEMBL2348091,CL,mL.min-1.kg-1,=,2.7,CHEMBL372,Homo sapiens,Intrinsic clearance in human plasma,A,O=C(O)CCc1sc(/C=C2\NC(=O)CS2)nc1-c1ccccn1,2.7,mL.min-1.kg-1
22507,12726613,CHEMBL2353289,CHEMBL2348153,CL,mL.min-1.g-1,=,34.0,CHEMBL613373,Homo sapiens,Intrinsic clearance in human liver microsomes,A,N#Cc1ccc2ccn(-c3cc(N)ncn3)c2n1,0.034,mL.min-1.kg-1
22508,12726614,CHEMBL2353289,CHEMBL2348152,CL,mL.min-1.g-1,=,30.0,CHEMBL613373,Homo sapiens,Intrinsic clearance in human liver microsomes,A,Nc1nccc(-n2cc(-c3cccnc3Cl)c3cnc(Cl)cc32)n1,0.03,mL.min-1.kg-1
22509,12726615,CHEMBL2353289,CHEMBL2348154,CL,mL.min-1.g-1,=,21.0,CHEMBL613373,Homo sapiens,Intrinsic clearance in human liver microsomes,A,Nc1nccc(-n2cc(-c3cccnc3Cl)c3cnccc32)n1,0.021,mL.min-1.kg-1
22510,12726616,CHEMBL2353289,CHEMBL2348163,CL,mL.min-1.g-1,=,108.0,CHEMBL613373,Homo sapiens,Intrinsic clearance in human liver microsomes,A,N#Cc1cnc2ccn(-c3ccnc(N)n3)c2c1,0.108,mL.min-1.kg-1
22511,12726617,CHEMBL2353289,CHEMBL2346665,CL,mL.min-1.g-1,=,104.0,CHEMBL613373,Homo sapiens,Intrinsic clearance in human liver microsomes,A,Nc1nccc(-n2ccc3cnc(Cl)cc32)n1,0.104,mL.min-1.kg-1
22512,12726618,CHEMBL2353289,CHEMBL2348166,CL,mL.min-1.g-1,=,94.0,CHEMBL613373,Homo sapiens,Intrinsic clearance in human liver microsomes,A,N#Cc1cc2c(ccn2-c2ccnc(N)n2)cn1,0.094,mL.min-1.kg-1
22513,12726619,CHEMBL2353289,CHEMBL2348165,CL,mL.min-1.g-1,=,60.0,CHEMBL613373,Homo sapiens,Intrinsic clearance in human liver microsomes,A,Nc1nccc(-n2ccc3ncccc32)n1,0.06,mL.min-1.kg-1
22514,12726620,CHEMBL2353289,CHEMBL2348168,CL,mL.min-1.g-1,=,62.0,CHEMBL613373,Homo sapiens,Intrinsic clearance in human liver microsomes,A,Nc1nccc(-n2ccc3cnccc32)n1,0.062,mL.min-1.kg-1
22515,12726621,CHEMBL2353289,CHEMBL2348167,CL,mL.min-1.g-1,=,134.0,CHEMBL613373,Homo sapiens,Intrinsic clearance in human liver microsomes,A,Nc1nccc(-n2ccc3ccncc32)n1,0.134,mL.min-1.kg-1
22516,12726622,CHEMBL2353289,CHEMBL2348170,CL,mL.min-1.g-1,=,338.0,CHEMBL613373,Homo sapiens,Intrinsic clearance in human liver microsomes,A,Nc1nccc(-n2ccc3cccnc32)n1,0.338,mL.min-1.kg-1
22517,12726623,CHEMBL2353289,CHEMBL2348176,CL,mL.min-1.g-1,=,387.0,CHEMBL613373,Homo sapiens,Intrinsic clearance in human liver microsomes,A,Nc1nccc(-n2ccc3ccccc32)n1,0.387,mL.min-1.kg-1
22518,12726624,CHEMBL2353289,CHEMBL2348180,CL,mL.min-1.g-1,=,201.0,CHEMBL613373,Homo sapiens,Intrinsic clearance in human liver microsomes,A,N#Cc1ccc2ccn(-c3ccnc(N)c3)c2c1,0.201,mL.min-1.kg-1
22519,12726625,CHEMBL2353289,CHEMBL2334966,CL,mL.min-1.g-1,=,430.0,CHEMBL613373,Homo sapiens,Intrinsic clearance in human liver microsomes,A,N#Cc1ccc2ccn(-c3ccnc(N)n3)c2c1,0.43,mL.min-1.kg-1
