,molecule_chembl_id,IC50,units,units,smiles,pIC50
107,CHEMBL3909714,832.0,nM,nM,CCN(CC)C(=O)CCC/C=C\C[C@H]1C(=O)C(C)(C)[C@@H](O)[C@@H]1/C=C/C(O)Cc1cc2ccccc2s1,6.0798766737092755
108,CHEMBL3896491,4154.0,nM,nM,CC1(C)C(=O)[C@H](C/C=C\CCCC(=O)NCCO)[C@@H](/C=C/C(O)Cc2cc3ccccc3s2)[C@@H]1O,5.38153350780092
109,CHEMBL3900651,678.0,nM,nM,CC1(C)C(=O)[C@H](C/C=C\CCCC(N)=O)[C@@H](/C=C/C(O)Cc2cc3ccccc3s2)[C@@H]1O,6.168770306132936
110,CHEMBL3923193,219.0,nM,nM,COC(=O)CCC/C=C\C[C@H]1C(=O)C(C)(C)[C@@H](O)[C@@H]1/C=C/C(O)Cc1cc2ccccc2s1,6.6595558851598815
111,CHEMBL3954031,256.0,nM,nM,CC1(C)C(=O)[C@H](CC#CCCCC(=O)O)[C@@H](/C=C/C(O)Cc2cc3ccccc3s2)[C@@H]1O,6.59176003468815
112,CHEMBL64804,0.38,nM,nM,CCCCC[C@@H](O)/C=C/[C@H]1[C@H](O)CC(=O)[C@@H]1C/C=C\CCCC(=O)O,9.42021640338319
113,CHEMBL3982139,1.2,nM,nM,CC#CC[C@H](C)[C@H](O)/C=C/[C@H]1CC(F)(F)C(=O)N1CCCCCCC(=O)O,8.920818753952375
114,CHEMBL3918816,1.3,nM,nM,CCC#CC[C@H](C)[C@H](O)/C=C/[C@H]1CC(F)(F)C(=O)N1CCCCCCC(=O)O,8.886056647693163
115,CHEMBL3897335,2.4,nM,nM,C[C@@H](CCCc1ccccc1)[C@H](O)/C=C/[C@H]1CC(F)(F)C(=O)N1CCCCCCC(=O)O,8.619788758288394
116,CHEMBL3955128,0.57,nM,nM,CCCCC[C@H](O)/C=C/[C@H]1CC(F)(F)C(=O)N1CCCCCCC(=O)O,9.244125144327509
117,CHEMBL3959605,4.9,nM,nM,O=C(O)CCCCCCN1C(=O)C(F)(F)C[C@@H]1/C=C/[C@@H](O)CCCCc1ccccc1,8.309803919971486
118,CHEMBL3895047,0.32,nM,nM,CCC#CC[C@H](C)[C@H](O)/C=C/[C@H]1CC(F)(F)C(=O)N1CCc1ccc(C(=O)O)cc1,9.494850021680094
119,CHEMBL3923027,0.22,nM,nM,CCCCC[C@H](O)/C=C/[C@H]1CC(F)(F)C(=O)N1CCc1ccc(C(=O)O)cc1,9.657577319177793
120,CHEMBL3949856,3.3,nM,nM,CCC#CC[C@H](C)[C@H](O)/C=C/[C@H]1CC(F)(F)C(=O)N1CCCc1ccc(C(=O)O)s1,8.481486060122112
121,CHEMBL3975743,0.74,nM,nM,C[C@@H](CCCc1ccccc1)[C@H](O)/C=C/[C@H]1CC(F)(F)C(=O)N1CCCc1ccc(C(=O)O)s1,9.130768280269024
122,CHEMBL3916499,0.28,nM,nM,CCCCC[C@H](O)/C=C/[C@H]1CC(F)(F)C(=O)N1CCCc1ccc(C(=O)O)s1,9.55284196865778
123,CHEMBL4103046,104.0,nM,nM,O=C(O)c1ccc(CNC(=O)c2cc(F)cnc2Oc2ccc(F)cc2)cc1,6.982966660701219
124,CHEMBL4092846,124.0,nM,nM,O=C(O)c1ccc(CNC(=O)c2cc(F)ccc2Oc2ccc(F)cc2)cc1,6.906578314837764
125,CHEMBL4065183,37.9,nM,nM,O=C(O)c1ccc(CNC(=O)c2cc(Cl)cnc2Oc2ccc(F)cc2)cc1,7.421360790031928
126,CHEMBL4066230,21.6,nM,nM,O=C(O)c1ccc(CNC(=O)c2cc(Cl)ccc2Oc2ccc(F)cc2)cc1,7.665546248849069
127,CHEMBL4095293,28.7,nM,nM,C[C@H](NC(=O)c1cc(F)cnc1Oc1ccc(F)cc1)c1ccc(C(=O)O)cc1,7.542118103266008
128,CHEMBL4096216,9.68,nM,nM,C[C@H](NC(=O)c1cc(Cl)cnc1Oc1ccc(F)cc1)c1ccc(C(=O)O)cc1,8.014124642691606
129,CHEMBL4061595,545.0,nM,nM,CC(C)(NC(=O)c1cc(F)cnc1Oc1ccc(F)cc1)c1ccc(C(=O)O)cc1,6.2636034977233574
130,CHEMBL4072974,181.0,nM,nM,CCC(NC(=O)c1cc(F)cnc1Oc1ccc(F)cc1)c1ccc(C(=O)O)cc1,6.7423214251308154
131,CHEMBL4099851,2.4,nM,nM,C[C@H](NC(=O)c1cc(Cl)cnc1Oc1cccc(F)c1)c1ccc(C(=O)O)cc1,8.619788758288394
132,CHEMBL4062620,5.02,nM,nM,C[C@H](NC(=O)c1cc(Cl)cnc1Oc1cccc(Cl)c1)c1ccc(C(=O)O)cc1,8.29929628285498
133,CHEMBL4094572,13.4,nM,nM,C[C@H](NC(=O)c1cc(Cl)cnc1Oc1cccc(C#N)c1)c1ccc(C(=O)O)cc1,7.872895201635192
134,CHEMBL4078648,8.76,nM,nM,C[C@H](NC(=O)c1cc(Cl)ccc1Oc1cccc(F)c1)c1ccc(C(=O)O)cc1,8.05749589383192
135,CHEMBL4535971,0.4,nM,nM,C/C=C/c1nnn(Cc2ccc(C(F)(F)F)cc2)c1C(=O)N[C@@H](C)c1ccc(C(=O)O)cc1,9.397940008672037
136,CHEMBL4448899,1120.0,nM,uM,Cc1c(NC(=O)c2cc(C(N)=O)nc3cc(F)ccc23)c(C(F)(F)F)nn1Cc1ccc(C#N)cc1,5.950781977329818
137,CHEMBL5272661,2.0,nM,nM,CC(C)CC(=O)c1ccc(CCCN2C(=O)CC[C@@H]2CC[C@@H](O)Cc2cccc(C(F)(F)F)c2)s1,8.698970004336019
138,CHEMBL378376,2.0,nM,nM,O=C(O)c1ccc(CCCN2C(=O)CC[C@@H]2CC[C@@H](O)Cc2cccc(C(F)(F)F)c2)s1,8.698970004336019
139,CHEMBL3670685,13.5,nM,nM,C[C@H](NC(=O)c1c(C(F)F)nn(C)c1Oc1cccc(C(F)(F)F)c1)c1ccc(C(=O)O)cc1,7.8696662315049934
