activity_id,assay_chembl_id,molecule_chembl_id,type,standard_units,relation,standard_value,target_chembl_id,target_organism,assay_description,assay_type,smiles,clint,units,assay_class
14712264,CHEMBL3293987,CHEMBL3290942,CL,mL.min-1.kg-1,=,12.0,CHEMBL376,Rattus norvegicus,"Clearance in Sprague-Dawley (CD) rat at 1 mg/kg, iv relative to hepatic blood flow",A,O=c1nc(Nc2ccc(-c3ccncc3)cc2)c2cccnc2n1O,12.0,mL.min-1.kg-1,species_only_rat
14712265,CHEMBL3293987,CHEMBL3290943,CL,mL.min-1.kg-1,=,16.0,CHEMBL376,Rattus norvegicus,"Clearance in Sprague-Dawley (CD) rat at 1 mg/kg, iv relative to hepatic blood flow",A,O=c1nc(NCc2ccc(-c3ccncc3)cc2)c2cccnc2n1O,16.0,mL.min-1.kg-1,species_only_rat
14712266,CHEMBL3293987,CHEMBL3290944,CL,mL.min-1.kg-1,=,45.0,CHEMBL376,Rattus norvegicus,"Clearance in Sprague-Dawley (CD) rat at 1 mg/kg, iv relative to hepatic blood flow",A,O=c1nc(Nc2ccc(N3CCOCC3)cc2)c2cccnc2n1O,45.0,mL.min-1.kg-1,species_only_rat
14712267,CHEMBL3293987,CHEMBL3290945,CL,mL.min-1.kg-1,=,55.0,CHEMBL376,Rattus norvegicus,"Clearance in Sprague-Dawley (CD) rat at 1 mg/kg, iv relative to hepatic blood flow",A,O=c1nc(NCc2ccc(N3CCOCC3)cc2)c2cccnc2n1O,55.0,mL.min-1.kg-1,species_only_rat
14712268,CHEMBL3293987,CHEMBL3290946,CL,mL.min-1.kg-1,=,70.0,CHEMBL376,Rattus norvegicus,"Clearance in Sprague-Dawley (CD) rat at 1 mg/kg, iv relative to hepatic blood flow",A,O=c1nc(Nc2ccc(CN3CCOCC3)cc2)c2cccnc2n1O,70.0,mL.min-1.kg-1,species_only_rat
14712983,CHEMBL3291835,CHEMBL1230001,CL,mL.min-1.kg-1,=,0.08333,CHEMBL376,Rattus norvegicus,"Clearance in rat at 0.5 mg/kg, iv",A,O=C(O)c1ccccc1NC(=O)N1CCC(c2ccccc2C(F)(F)F)CC1,0.08333,mL.min-1.kg-1,species_only_rat
14713006,CHEMBL3291835,CHEMBL7301,CL,mL.min-1.kg-1,=,5.0,CHEMBL376,Rattus norvegicus,"Clearance in rat at 0.5 mg/kg, iv",A,CC1=C(/C=C/C(C)=C/C=C/C(C)=C/C(=O)Nc2ccc(O)cc2)C(C)(C)CCC1,5.0,mL.min-1.kg-1,species_only_rat
14713156,CHEMBL3294054,CHEMBL3288344,CL,mL.min-1.kg-1,=,20.0,CHEMBL376,Rattus norvegicus,"Clearance in F344 rat at 10 mg/kg, iv",A,Cc1cccc(C)c1-c1cccc(COc2ccc(CCC(=O)O)cn2)c1,20.0,mL.min-1.kg-1,species_only_rat
14713157,CHEMBL3294055,CHEMBL3288362,CL,mL.min-1.kg-1,=,6.167,CHEMBL376,Rattus norvegicus,"Clearance in F344 rat at 2 mg/kg, iv",A,CCOC(CC(=O)O)c1ccc(OCc2ccccc2C)cc1,6.167,mL.min-1.kg-1,species_only_rat
14713524,CHEMBL3296637,CHEMBL3291124,CL,mL.min-1.kg-1,=,48.0,CHEMBL376,Rattus norvegicus,"Clearance in Sprague-Dawley rat at 10 mg/kg, iv",A,C=C[C@]1(C)C[C@@H](OC(=O)CSc2cncc(CO)c2)[C@]2(C)[C@H](C)CC[C@]3(CCC(=O)[C@H]32)[C@@H](C)[C@@H]1O,48.0,mL.min-1.kg-1,species_only_rat
