number,CID,smiles,log_bb
96,12406842,ClC1=CC(=CC(=C1N=C2NCCN2)Cl)Br,0.41
97,12406830,CC1=CC(=CC(=C1N=C2NCCN2)C)Br,-0.28
98,12296941,FC1=C(N=C2NCCN2)C(=CC=C1)F,-0.2
99,11,ClCCCl,-0.14
100,180,O=C(C)C,-0.15000001
101,241,c1ccccc1,0.34999999
102,263,OCCCC,-0.02
103,338,Oc1ccccc1C(O)=O,-1.11
104,356,C(CCCC)CCC,0.69
105,408,O=C1N(C)C(CC1)c1cccnc1,-0.22
106,412,n1cc(ccc1)C1NCCC1,0.31999999
107,444,Clc1cc(ccc1)C(=O)C(NC(C)(C)C)C,1.4
108,702,OCC,-0.16
109,887,OC,0.02
110,942,n1cc(ccc1)C1N(CCC1)C,0.38
111,948,[O-][N+]#N,0.029999999
112,1031,OCCC,-0.15000001
113,1140,c1ccccc1C,0.36000001
114,1176,O=C(N)N,-0.14
115,1206,N(C(Cc1ccccc1)C)C,0.94999999
116,1345,Clc1ccccc1-c1nc(cc2c1cccc2)C(=O)N(C(CC)C)C,0.47999999
117,1775,O=C1NC(=O)NC1(c1ccccc1)c1ccccc1,-0.050000001
118,1935,n1c2c(CCCC2)c(N)c2c1cccc2,-0.12
119,1978,O(CC(O)CNC(C)C)c1ccc(NC(=O)CCC)cc1C(=O)C,-0.15000001
120,1983,Oc1ccc(NC(=O)C)cc1,-0.37
121,2022,O=C1NC(=Nc2n(cnc12)COCCO)N,-0.83999997
122,2083,Oc1ccc(cc1CO)C(O)CNC(C)(C)C,-1.14
123,2118,Clc1cc2c(-n3c(nnc3C)CN=C2c2ccccc2)cc1,0.02
124,2119,O(CC(O)CNC(C)C)c1ccccc1CC=C,-0.23
125,2153,O=C1N(C)C(=O)N(c2nc[nH]c12)C,-0.31999999
126,2160,N(CCC=C1c2c(CCc3c1cccc3)cccc2)(C)C,0.89999998
127,2164,O=C1NC(=O)NC(=O)C1(CCC(C)C)CC,0.11
128,2206,O=C1N(N(C)C(=C1)C)c1ccccc1,-0.11
129,2244,O(C(=O)C)c1ccccc1C(O)=O,-0.61000001
130,2249,O(CC(O)CNC(C)C)c1ccc(cc1)CC(=O)N,-1.14
131,2294,O=C1NC(=O)NC(=O)C1(CC)CC,-0.14
132,2337,O(C(=O)c1ccc(N)cc1)CC,0.27000001
133,2366,n1ccccc1CCNC,-0.34
134,2369,O(CC(O)CNC(C)C)c1ccc(cc1)CCOCC1CC1,0.38999999
135,2381,OC(CCN1CCCCC1)(C1C2CC(C1)C=C2)c1ccccc1,0.85000002
136,2443,Brc1[nH]c2c3c1CC1N(CC(C=C1c3ccc2)C(=O)NC1(OC2(O)N(C(CC(C)C)C(=O)N3C2CCC3)C1=O)C(C)C)C,-1.1
137,2448,Brc1ccc(cc1)C1(O)CCN(CC1)CCCC(=O)c1ccc(F)cc1,1.38
138,2473,O(CC(O)CNC(C)(C)C)c1ccccc1C#N,0.38
139,2477,O=C1N(CCCCN2CCN(CC2)c2ncccn2)C(=O)CC2(C1)CCCC2,0.49000001
140,2482,O(C(=O)c1ccc(N)cc1)CCCC,0.41999999
141,2519,O=C1N(C)C(=O)N(c2ncn(c12)C)C,-0.039999999
142,2520,O(C)c1cc(ccc1OC)C(C(C)C)(CCCN(CCc1cc(OC)c(OC)cc1)C)C#N,-0.63999999
143,2554,O=C(N)N1c2c(C=Cc3c1cccc3)cccc2,-0.039999999
144,2555,O1C2C1c1c(N(c3c2cccc3)C(=O)N)cccc1,-0.34
145,2578,ClCCN(N=O)C(=O)NCCCl,-0.51999998
146,2583,O(CC(O)CNC(C)(C)C)c1c2CCC(=O)Nc2ccc1,0.0099999998
147,2678,Clc1ccc(cc1)C(N1CCN(CC1)CCOCC(O)=O)c1ccccc1,-2.1500001
