,activity_id,assay_chembl_id,molecule_chembl_id,type,standard_units,relation,standard_value,target_chembl_id,assay_description,assay_type,smiles
5800,3273178,CHEMBL1111065,CHEMBL1087088,LogD,,=,2.16,CHEMBL2362975,"Octanol-water partition coefficient, log D at pH 7.4",P,O=C([C@H](O)CS(=O)(=O)c1ccc2cc(Cl)ccc2c1)N1CCC(N2C[C@H]3CCCN3C2=O)CC1
5801,3273179,CHEMBL1111065,CHEMBL1088640,LogD,,=,1.73,CHEMBL2362975,"Octanol-water partition coefficient, log D at pH 7.4",P,O=C([C@H](O)CS(=O)(=O)c1ccc2cc(Cl)ccc2c1)N1CCC(N2CCNC2=O)CC1
5802,3273180,CHEMBL1111065,CHEMBL1088496,LogD,,=,1.79,CHEMBL2362975,"Octanol-water partition coefficient, log D at pH 7.4",P,O=C([C@H](O)CS(=O)(=O)c1ccc2cc(Cl)ccc2c1)N1CCC(n2cc[nH]c2=O)CC1
5803,3273181,CHEMBL1111065,CHEMBL1088497,LogD,,=,1.75,CHEMBL2362975,"Octanol-water partition coefficient, log D at pH 7.4",P,O=C([C@H](O)CS(=O)(=O)c1ccc2cc(Cl)ccc2c1)N1CCC(N2CCOC2=O)CC1
5804,3273182,CHEMBL1111065,CHEMBL1088501,LogD,,=,1.96,CHEMBL2362975,"Octanol-water partition coefficient, log D at pH 7.4",P,O=C([C@H](O)CS(=O)(=O)c1ccc2cc(Cl)ccc2c1)N1CCC(N2CCCC2=O)CC1
5805,3273183,CHEMBL1111065,CHEMBL1088502,LogD,,=,1.69,CHEMBL2362975,"Octanol-water partition coefficient, log D at pH 7.4",P,O=C([C@H](O)CS(=O)(=O)c1ccc2cc(Cl)ccc2c1)N1CCC(N2CCCS2(=O)=O)CC1
5806,3273184,CHEMBL1111065,CHEMBL1095181,LogD,,=,1.56,CHEMBL2362975,"Octanol-water partition coefficient, log D at pH 7.4",P,O=C([C@H](O)CS(=O)(=O)c1ccc2cc(Cl)ccc2c1)N1CCC(N2CCCC2)CC1
5807,3273185,CHEMBL1111065,CHEMBL1095032,LogD,,=,1.81,CHEMBL2362975,"Octanol-water partition coefficient, log D at pH 7.4",P,O=C([C@H](O)CS(=O)(=O)c1ccc2cc(Cl)ccc2c1)N1CCC(N2CCCNC2=O)CC1
5808,3273186,CHEMBL1111065,CHEMBL1095182,LogD,,=,1.67,CHEMBL2362975,"Octanol-water partition coefficient, log D at pH 7.4",P,O=C([C@H](O)CS(=O)(=O)c1ccc2cc(Cl)ccc2c1)N1CCC(N2CCCOC2=O)CC1
5809,3273187,CHEMBL1111065,CHEMBL1095187,LogD,,=,1.85,CHEMBL2362975,"Octanol-water partition coefficient, log D at pH 7.4",P,O=C([C@H](O)CS(=O)(=O)c1ccc2cc(Cl)ccc2c1)N1CCC(N2CCOCC2=O)CC1
5810,3273188,CHEMBL1111065,CHEMBL1096791,LogD,,=,2.19,CHEMBL2362975,"Octanol-water partition coefficient, log D at pH 7.4",P,O=C([C@H](O)CS(=O)(=O)c1ccc2cc(Cl)ccc2c1)N1CCC(N2CCCCC2=O)CC1
5811,3273189,CHEMBL1111065,CHEMBL1096792,LogD,,=,1.85,CHEMBL2362975,"Octanol-water partition coefficient, log D at pH 7.4",P,O=C([C@H](O)CS(=O)(=O)c1ccc2cc(Cl)ccc2c1)N1CCC(N2NCCCC2=O)CC1
5812,3273190,CHEMBL1111065,CHEMBL1094240,LogD,,=,2.52,CHEMBL2362975,"Octanol-water partition coefficient, log D at pH 7.4",P,O=C([C@H](O)CS(=O)(=O)c1ccc2cc(Cl)ccc2c1)N1CCC(N2CCCCCC2=O)CC1
5835,3287563,CHEMBL1115557,CHEMBL1097851,LogD,,=,2.32,CHEMBL2362975,"Octanol/aqueous KCl distribution coefficient, log D at pH 7.4 by potentiometric titration",P,Cc1sccc1[C@@H]1CCc2c(C(=O)N(C)C)cc3c(nc(C)n3C)c2O1
5836,3287565,CHEMBL1115557,CHEMBL1099211,LogD,,=,3.37,CHEMBL2362975,"Octanol/aqueous KCl distribution coefficient, log D at pH 7.4 by potentiometric titration",P,Cc1nc2c3c(c(C(=O)N(C)C)cc2n1C)CC[C@@H](c1ccc2ccccc2c1)O3
5837,3287566,CHEMBL1115557,CHEMBL1099210,LogD,,=,3.66,CHEMBL2362975,"Octanol/aqueous KCl distribution coefficient, log D at pH 7.4 by potentiometric titration",P,Cc1nc2c3c(c(C(=O)N(C)C)cc2n1C)CC[C@@H](c1ccc(Cl)cc1Cl)O3
5838,3287568,CHEMBL1115557,CHEMBL1099208,LogD,,=,3.42,CHEMBL2362975,"Octanol/aqueous KCl distribution coefficient, log D at pH 7.4 by potentiometric titration",P,COC1CN(C(=O)c2cc3c(nc(C)n3C)c3c2CC[C@@H](c2ccc(Cl)cc2C)O3)C1
5839,3287569,CHEMBL1115557,CHEMBL1097144,LogD,,=,3.43,CHEMBL2362975,"Octanol/aqueous KCl distribution coefficient, log D at pH 7.4 by potentiometric titration",P,Cc1cc(Cl)ccc1[C@@H]1CCc2c(C(=O)N3CCC3)cc3c(nc(C)n3C)c2O1
5840,3287570,CHEMBL1115557,CHEMBL1095849,LogD,,=,3.46,CHEMBL2362975,"Octanol/aqueous KCl distribution coefficient, log D at pH 7.4 by potentiometric titration",P,CNC(=O)c1cc2c(nc(C)n2C)c2c1CC[C@@H](c1ccc(Cl)cc1C)O2
5841,3287571,CHEMBL1115557,CHEMBL1095848,LogD,,=,3.4,CHEMBL2362975,"Octanol/aqueous KCl distribution coefficient, log D at pH 7.4 by potentiometric titration",P,Cc1cc(Cl)ccc1[C@@H]1CCc2c(C(=O)N(C)C)cc3c(nc(C)n3C)c2O1
5842,3287575,CHEMBL1115557,CHEMBL1097164,LogD,,=,2.92,CHEMBL2362975,"Octanol/aqueous KCl distribution coefficient, log D at pH 7.4 by potentiometric titration",P,Cc1nc2c3c(c(C(=O)N(C)C)cc2n1C)CC[C@@H](c1ccc(Cl)cc1)O3
5843,3287576,CHEMBL1115557,CHEMBL1097163,LogD,,=,2.36,CHEMBL2362975,"Octanol/aqueous KCl distribution coefficient, log D at pH 7.4 by potentiometric titration",P,Cc1nc2c3c(c(C(=O)N(C)C)cc2n1C)CC[C@@H](c1ccc(F)cc1)O3
5844,3287577,CHEMBL1115557,CHEMBL1098854,LogD,,=,1.9,CHEMBL2362975,"Octanol/aqueous KCl distribution coefficient, log D at pH 7.4 by potentiometric titration",P,COCc1ccccc1[C@@H]1CCc2c(C(=O)N(C)C)cc3c(nc(C)n3C)c2O1
5845,3287578,CHEMBL1115557,CHEMBL1098853,LogD,,=,3.18,CHEMBL2362975,"Octanol/aqueous KCl distribution coefficient, log D at pH 7.4 by potentiometric titration",P,Cc1nc2c3c(c(C(=O)N(C)C)cc2n1C)CC[C@@H](c1ccccc1C1CC1)O3
5846,3287580,CHEMBL1115557,CHEMBL1096980,LogD,,=,2.86,CHEMBL2362975,"Octanol/aqueous KCl distribution coefficient, log D at pH 7.4 by potentiometric titration",P,Cc1nc2c3c(c(C(=O)N(C)C)cc2n1C)CC[C@@H](c1ccccc1Cl)O3
5847,3287581,CHEMBL1115557,CHEMBL1095215,LogD,,=,2.41,CHEMBL2362975,"Octanol/aqueous KCl distribution coefficient, log D at pH 7.4 by potentiometric titration",P,Cc1nc2c3c(c(C(=O)N(C)C)cc2n1C)CC[C@@H](c1ccccc1F)O3
5907,3288951,CHEMBL1115557,CHEMBL1098488,LogD,,=,2.84,CHEMBL2362975,"Octanol/aqueous KCl distribution coefficient, log D at pH 7.4 by potentiometric titration",P,Cc1ccccc1[C@@H]1CCc2c(C(=O)N(C)C)cc3c(nc(C4CC4)n3C)c2O1
5911,3288972,CHEMBL1115557,CHEMBL1098353,LogD,,=,2.82,CHEMBL2362975,"Octanol/aqueous KCl distribution coefficient, log D at pH 7.4 by potentiometric titration",P,Cc1nc2c3c(c(C(=O)N(C)C)cc2[nH]1)CC[C@@H](c1ccccc1C)O3
5916,3290492,CHEMBL1115662,CHEMBL1099304,LogD,,=,-2.2,CHEMBL2362975,"Octanol-water partition coefficient, log D at pH 7.4",P,C[C@@H](O)[C@@H]1NC(=O)[C@H](CCCCN)NC(=O)[C@@H](Cc2c[nH]c3ccccc23)NC(=O)[C@H](Cc2ccc(O)cc2)NC(=O)[C@@H](NC(=O)[C@@H](Cc2ccccc2)NC(=O)CCCCCn2cc(COc3cccc(C(=O)NS(=O)(=O)CCNC(=O)CN4CCN(CC(=O)O)CCN(CC(=O)O)CCN(CC(=O)O)CC4)c3)nn2)CSSC[C@@H](C(=O)N[C@H](CO)[C@@H](C)O)NC1=O
5917,3290493,CHEMBL1115662,CHEMBL1099305,LogD,,=,-1.79,CHEMBL2362975,"Octanol-water partition coefficient, log D at pH 7.4",P,C[C@@H](O)[C@@H]1NC(=O)[C@H](CCCCN)NC(=O)[C@@H](Cc2c[nH]c3ccccc23)NC(=O)[C@H](Cc2ccc(O)cc2)NC(=O)[C@@H](NC(=O)[C@@H](Cc2ccccc2)NC(=O)CCCCCn2cc(COc3cc(OCc4cn(CCCCCC(=O)N[C@H](Cc5ccccc5)C(=O)N[C@H]5CSSC[C@@H](C(=O)N[C@H](CO)[C@@H](C)O)NC(=O)[C@H]([C@@H](C)O)NC(=O)[C@H](CCCCN)NC(=O)[C@@H](Cc6c[nH]c7ccccc67)NC(=O)[C@H](Cc6ccc(O)cc6)NC5=O)nn4)cc(C(=O)NS(=O)(=O)CCNC(=O)CN4CCN(CC(=O)O)CCN(CC(=O)O)CCN(CC(=O)O)CC4)c3)nn2)CSSC[C@@H](C(=O)N[C@H](CO)[C@@H](C)O)NC1=O
5918,3290495,CHEMBL1115662,CHEMBL1099306,LogD,,=,-0.71,CHEMBL2362975,"Octanol-water partition coefficient, log D at pH 7.4",P,C[C@@H](O)[C@@H]1NC(=O)[C@H](CCCCN)NC(=O)[C@@H](Cc2c[nH]c3ccccc23)NC(=O)[C@H](Cc2ccc(O)cc2)NC(=O)[C@@H](NC(=O)[C@@H](Cc2ccccc2)NC(=O)CCCCCn2cc(COc3cc(OCc4cn(CCCCCC(=O)N[C@H](Cc5ccccc5)C(=O)N[C@H]5CSSC[C@@H](C(=O)N[C@H](CO)[C@@H](C)O)NC(=O)[C@H]([C@@H](C)O)NC(=O)[C@H](CCCCN)NC(=O)[C@@H](Cc6c[nH]c7ccccc67)NC(=O)[C@H](Cc6ccc(O)cc6)NC5=O)nn4)cc(C(=O)NCCOc4cc(OCCNC(=O)c5cc(OCc6cn(CCCCCC(=O)N[C@H](Cc7ccccc7)C(=O)N[C@H]7CSSC[C@@H](C(=O)N[C@H](CO)[C@@H](C)O)NC(=O)[C@H]([C@@H](C)O)NC(=O)[C@H](CCCCN)NC(=O)[C@@H](Cc8c[nH]c9ccccc89)NC(=O)[C@H](Cc8ccc(O)cc8)NC7=O)nn6)cc(OCc6cn(CCCCCC(=O)N[C@H](Cc7ccccc7)C(=O)N[C@H]7CSSC[C@@H](C(=O)N[C@H](CO)[C@@H](C)O)NC(=O)[C@H]([C@@H](C)O)NC(=O)[C@H](CCCCN)NC(=O)[C@@H](Cc8c[nH]c9ccccc89)NC(=O)[C@H](Cc8ccc(O)cc8)NC7=O)nn6)c5)cc(C(=O)NS(=O)(=O)CCNC(=O)CN5CCN(CC(=O)O)CCN(CC(=O)O)CCN(CC(=O)O)CC5)c4)c3)nn2)CSSC[C@@H](C(=O)N[C@H](CO)[C@@H](C)O)NC1=O
5919,3290560,CHEMBL1115662,CHEMBL1099307,LogD,,=,-3.59,CHEMBL2362975,"Octanol-water partition coefficient, log D at pH 7.4",P,C[C@@H](O)[C@@H]1NC(=O)[C@H](CCCCN)NC(=O)[C@@H](Cc2c[nH]c3ccccc23)NC(=O)[C@H](Cc2ccc(O)cc2)NC(=O)[C@@H](NC(=O)[C@@H](Cc2ccccc2)NC(=O)CCCCCn2cc(CO)nn2)CSSC[C@@H](C(=O)N[C@H](CO)[C@@H](C)O)NC1=O
5920,3293908,CHEMBL1103890,CHEMBL1098000,LogD,,=,3.22,CHEMBL2362975,"Octanol/water partition coefficient, log D of the compound",P,COc1ccccc1[C@@]1(N2C[C@H](O)C[C@H]2C(=O)N(C)C)C(=O)N(S(=O)(=O)c2ccc(O[11CH3])cc2OC)c2ccc(Cl)cc21
5921,3302421,CHEMBL1118300,CHEMBL1083999,LogD,,=,2.5,CHEMBL2362975,"Octanol-water distribution coefficient, log D at pH 7.4 by shake flask method",P,CN(C)CCCCc1ccc(C(C)(C)C)cc1
5922,3302422,CHEMBL1118300,CHEMBL1084000,LogD,,=,0.8,CHEMBL2362975,"Octanol-water distribution coefficient, log D at pH 7.4 by shake flask method",P,CN(C)CCCCc1ccc(C2(C)COC2)cc1
5923,3302423,CHEMBL1118300,CHEMBL1084704,LogD,,=,1.8,CHEMBL2362975,"Octanol-water distribution coefficient, log D at pH 7.4 by shake flask method",P,CCc1ccc(CCCCN(C)C)cc1
5924,3302425,CHEMBL1118300,CHEMBL1082729,LogD,,=,-0.5,CHEMBL2362975,"Octanol-water distribution coefficient, log D at pH 7.4 by shake flask method",P,CN(C)CCCCc1ccc(C2(F)COC2)cc1
5925,3302426,CHEMBL1118300,CHEMBL1082730,LogD,,=,-0.1,CHEMBL2362975,"Octanol-water distribution coefficient, log D at pH 7.4 by shake flask method",P,CN(C)CCCCc1ccc(C2COC2)cc1
5926,3302428,CHEMBL1118300,CHEMBL1086250,LogD,,=,1.7,CHEMBL2362975,"Octanol-water distribution coefficient, log D at pH 7.4 by shake flask method",P,CN(C)CCCC1(c2ccc(C(C)(C)C)cc2)COC1
5927,3302430,CHEMBL1118300,CHEMBL1084002,LogD,,=,1.7,CHEMBL2362975,"Octanol-water distribution coefficient, log D at pH 7.4 by shake flask method",P,CN(C)CCC1(Cc2ccc(C(C)(C)C)cc2)COC1
5928,3302432,CHEMBL1118300,CHEMBL1084278,LogD,,=,3.3,CHEMBL2362975,"Octanol-water distribution coefficient, log D at pH 7.4 by shake flask method",P,CN(C)CC1(CCc2ccc(C(C)(C)C)cc2)COC1
5929,3302434,CHEMBL1118300,CHEMBL1085884,LogD,,=,3.3,CHEMBL2362975,"Octanol-water distribution coefficient, log D at pH 7.4 by shake flask method",P,CN(C)C1(CCCc2ccc(C(C)(C)C)cc2)COC1
5930,3302435,CHEMBL1118300,CHEMBL1085885,LogD,,=,0.1,CHEMBL2362975,"Octanol-water distribution coefficient, log D at pH 7.4 by shake flask method",P,CC1(C)CCN1Cc1ccc2c(c1)OCO2
5931,3302436,CHEMBL1118300,CHEMBL1085886,LogD,,=,1.3,CHEMBL2362975,"Octanol-water distribution coefficient, log D at pH 7.4 by shake flask method",P,c1cc2c(cc1CN1CCC13COC3)OCO2
5932,3302437,CHEMBL1118300,CHEMBL1085887,LogD,,=,1.1,CHEMBL2362975,"Octanol-water distribution coefficient, log D at pH 7.4 by shake flask method",P,O=C1CCN1Cc1ccc2c(c1)OCO2
5933,3302438,CHEMBL1118300,CHEMBL1085888,LogD,,=,0.8,CHEMBL2362975,"Octanol-water distribution coefficient, log D at pH 7.4 by shake flask method",P,CC1(C)CN(Cc2ccc3c(c2)OCO3)C1
5934,3302439,CHEMBL1118300,CHEMBL1085889,LogD,,=,0.5,CHEMBL2362975,"Octanol-water distribution coefficient, log D at pH 7.4 by shake flask method",P,c1cc2c(cc1CN1CC3(COC3)C1)OCO2
5935,3302441,CHEMBL1118300,CHEMBL1084605,LogD,,=,0.9,CHEMBL2362975,"Octanol-water distribution coefficient, log D at pH 7.4 by shake flask method",P,CC1(C)CCCN1Cc1ccc2c(c1)OCO2
5936,3302442,CHEMBL1118300,CHEMBL1086361,LogD,,=,1.9,CHEMBL2362975,"Octanol-water distribution coefficient, log D at pH 7.4 by shake flask method",P,c1cc2c(cc1CN1CCCC13COC3)OCO2
5937,3302443,CHEMBL1118300,CHEMBL1086122,LogD,,=,1.2,CHEMBL2362975,"Octanol-water distribution coefficient, log D at pH 7.4 by shake flask method",P,O=C1CCCN1Cc1ccc2c(c1)OCO2
5938,3302444,CHEMBL1118300,CHEMBL1086123,LogD,,=,1.4,CHEMBL2362975,"Octanol-water distribution coefficient, log D at pH 7.4 by shake flask method",P,CC1(C)CCN(Cc2ccc3c(c2)OCO3)C1
5939,3302445,CHEMBL1118300,CHEMBL1086124,LogD,,=,0.7,CHEMBL2362975,"Octanol-water distribution coefficient, log D at pH 7.4 by shake flask method",P,c1cc2c(cc1CN1CCC3(COC3)C1)OCO2
5940,3302446,CHEMBL1118300,CHEMBL1086125,LogD,,=,0.1,CHEMBL2362975,"Octanol-water distribution coefficient, log D at pH 7.4 by shake flask method",P,O=C1CCN(Cc2ccc3c(c2)OCO3)C1
5941,3302447,CHEMBL1118300,CHEMBL1086126,LogD,,=,1.1,CHEMBL2362975,"Octanol-water distribution coefficient, log D at pH 7.4 by shake flask method",P,CC1(C)CCCCN1Cc1ccc2c(c1)OCO2
5942,3302448,CHEMBL1118300,CHEMBL1086127,LogD,,=,2.2,CHEMBL2362975,"Octanol-water distribution coefficient, log D at pH 7.4 by shake flask method",P,c1cc2c(cc1CN1CCCCC13COC3)OCO2
5943,3302449,CHEMBL1118300,CHEMBL1085466,LogD,,=,1.6,CHEMBL2362975,"Octanol-water distribution coefficient, log D at pH 7.4 by shake flask method",P,O=C1CCCCN1Cc1ccc2c(c1)OCO2
5944,3302450,CHEMBL1118300,CHEMBL1086128,LogD,,=,2.3,CHEMBL2362975,"Octanol-water distribution coefficient, log D at pH 7.4 by shake flask method",P,CC1(C)CCCN(Cc2ccc3c(c2)OCO3)C1
5945,3302451,CHEMBL1118300,CHEMBL1086365,LogD,,=,1.7,CHEMBL2362975,"Octanol-water distribution coefficient, log D at pH 7.4 by shake flask method",P,c1cc2c(cc1CN1CCCC3(COC3)C1)OCO2
5946,3302452,CHEMBL1118300,CHEMBL1086366,LogD,,=,0.1,CHEMBL2362975,"Octanol-water distribution coefficient, log D at pH 7.4 by shake flask method",P,O=C1CCCN(Cc2ccc3c(c2)OCO3)C1
5947,3302453,CHEMBL1118300,CHEMBL1086367,LogD,,=,2.3,CHEMBL2362975,"Octanol-water distribution coefficient, log D at pH 7.4 by shake flask method",P,CC1(C)CCN(Cc2ccc3c(c2)OCO3)CC1
5948,3302454,CHEMBL1118300,CHEMBL1086368,LogD,,=,1.0,CHEMBL2362975,"Octanol-water distribution coefficient, log D at pH 7.4 by shake flask method",P,c1cc2c(cc1CN1CCC3(CC1)COC3)OCO2
5949,3302455,CHEMBL1118300,CHEMBL1086369,LogD,,=,1.2,CHEMBL2362975,"Octanol-water distribution coefficient, log D at pH 7.4 by shake flask method",P,O=C1CCN(Cc2ccc3c(c2)OCO3)CC1
5950,3302456,CHEMBL1118300,CHEMBL1086370,LogD,,=,1.6,CHEMBL2362975,"Octanol-water distribution coefficient, log D at pH 7.4 by shake flask method",P,c1cc2c(cc1CN1CC3CC(C1)O3)OCO2
5951,3302457,CHEMBL1118300,CHEMBL1085705,LogD,,=,1.5,CHEMBL2362975,"Octanol-water distribution coefficient, log D at pH 7.4 by shake flask method",P,c1cc2c(cc1CN1CCOCC1)OCO2
5952,3302458,CHEMBL1118300,CHEMBL1084433,LogD,,=,0.9,CHEMBL2362975,"Octanol-water distribution coefficient, log D at pH 7.4 by shake flask method",P,c1cc2c(cc1CN1CCCCC1)OCO2
5953,3302459,CHEMBL1118300,CHEMBL1085286,LogD,,=,0.2,CHEMBL2362975,"Octanol-water distribution coefficient, log D at pH 7.4 by shake flask method",P,c1cc2c(cc1CN1CCCC1)OCO2
5954,3302460,CHEMBL1118300,CHEMBL1085287,LogD,,=,-0.1,CHEMBL2362975,"Octanol-water distribution coefficient, log D at pH 7.4 by shake flask method",P,c1cc2c(cc1CN1CCC1)OCO2
5955,3304781,CHEMBL1120035,CHEMBL482967,LogD,,=,2.74,CHEMBL2362975,"Octanol-aqueous buffer partition coefficient, log D at pH 7.4 by shake-flask method",P,Cc1nc(N)sc1-c1ccnc(Nc2ccc(N3CCOCC3)cc2)n1
5956,3304782,CHEMBL1120035,CHEMBL46817,LogD,,=,1.33,CHEMBL2362975,"Octanol-aqueous buffer partition coefficient, log D at pH 7.4 by shake-flask method",P,Cc1nc(C)c(-c2ccnc(Nc3ccc(N(C)C)cc3)n2)s1
5957,3307814,CHEMBL1118390,CHEMBL1083755,LogD,,=,2.6,CHEMBL2362975,"Lipophilicity, log D in octanol buffer at pH 7.4",P,CS(=O)(=O)Cn1cc(C2CC2)c(Oc2ccc(C#N)cc2)c1C1CC1
5958,3307815,CHEMBL1118390,CHEMBL1083754,LogD,,=,2.5,CHEMBL2362975,"Lipophilicity, log D in octanol buffer at pH 7.4",P,CNC(=O)Cn1cc(C2CC2)c(Oc2ccc(C#N)cc2)c1C1CC1
5959,3307816,CHEMBL1118390,CHEMBL1083362,LogD,,=,1.1,CHEMBL2362975,"Lipophilicity, log D in octanol buffer at pH 7.4",P,CCc1cn(CCN)c(CC)c1Oc1ccc(C#N)cc1
5960,3307817,CHEMBL1118390,CHEMBL1083361,LogD,,=,2.7,CHEMBL2362975,"Lipophilicity, log D in octanol buffer at pH 7.4",P,CCc1cn(CS(C)(=O)=O)c(CC)c1Oc1ccc(C#N)cc1
5961,3307818,CHEMBL1118390,CHEMBL1083359,LogD,,=,2.6,CHEMBL2362975,"Lipophilicity, log D in octanol buffer at pH 7.4",P,CCc1cn(CC(=O)NC)c(CC)c1Oc1ccc(C#N)cc1
5962,3307819,CHEMBL1118390,CHEMBL1085008,LogD,,=,3.9,CHEMBL2362975,"Lipophilicity, log D in octanol buffer at pH 7.4",P,CCc1cn(CCOC)c(CC)c1Oc1ccc(C#N)cc1
5963,3307820,CHEMBL1118390,CHEMBL1084770,LogD,,=,3.0,CHEMBL2362975,"Lipophilicity, log D in octanol buffer at pH 7.4",P,CCc1cn(CCO)c(CC)c1Oc1ccc(C#N)cc1
5964,3307821,CHEMBL1118390,CHEMBL1084705,LogD,,=,3.4,CHEMBL2362975,"Lipophilicity, log D in octanol buffer at pH 7.4",P,CCc1c[nH]c(CC)c1Oc1ccc(C#N)cc1
5967,3312268,CHEMBL1119912,CHEMBL1083439,LogD,,=,0.75,CHEMBL2362975,"Octanol-water distribution coefficient, log D of the compound",P,O=C(CCCCCNC(=O)NC(=O)c1ccccc1)NO
5968,3312269,CHEMBL1119912,CHEMBL98,LogD,,=,1.04,CHEMBL2362975,"Octanol-water distribution coefficient, log D of the compound",P,O=C(CCCCCCC(=O)Nc1ccccc1)NO
5969,3312270,CHEMBL1119912,CHEMBL1083086,LogD,,=,1.72,CHEMBL2362975,"Octanol-water distribution coefficient, log D of the compound",P,O=C(CCCCCNC(=O)NC(=O)c1ccc(Br)cc1)NO
6005,3377397,CHEMBL1212340,CHEMBL1210376,LogD,,=,2.44,CHEMBL2362975,"Octanol-TAPSO distribution coefficient, log D of the compound at pH 7.4 by spectrophotometric analysis",P,CCOc1cc(CN2CC(NC(=O)c3cncc(C)c3)C2)cc(OCC)c1F
6006,3377398,CHEMBL1212340,CHEMBL1210375,LogD,,=,3.31,CHEMBL2362975,"Octanol-TAPSO distribution coefficient, log D of the compound at pH 7.4 by spectrophotometric analysis",P,CCOc1cc(CN2CCCC(NC(=O)c3cncc(C)c3)CC2)cc(OCC)c1-c1ccc(F)cc1
6007,3377400,CHEMBL1212340,CHEMBL1210373,LogD,,=,2.9,CHEMBL2362975,"Octanol-TAPSO distribution coefficient, log D of the compound at pH 7.4 by spectrophotometric analysis",P,CCOc1cc(CN2CCC(NC(=O)c3cncc(C)c3)CC2)cc(OCC)c1F
6008,3377402,CHEMBL1212340,CHEMBL241329,LogD,,=,3.05,CHEMBL2362975,"Octanol-TAPSO distribution coefficient, log D of the compound at pH 7.4 by spectrophotometric analysis",P,CCOc1cc(CN2CCC(NC(=O)c3cncc(C)c3)CC2)ccc1Cl
6009,3377405,CHEMBL1212340,CHEMBL1210268,LogD,,=,2.66,CHEMBL2362975,"Octanol-TAPSO distribution coefficient, log D of the compound at pH 7.4 by spectrophotometric analysis",P,CCOc1cc(CN2CCC(NC(=O)c3ccc(NC)nc3)CC2)cc(OCC)c1F
6010,3377406,CHEMBL1212340,CHEMBL1210210,LogD,,=,3.94,CHEMBL2362975,"Octanol-TAPSO distribution coefficient, log D of the compound at pH 7.4 by spectrophotometric analysis",P,CCOc1cc(CN2CCC(NC(=O)c3ccc(N)nc3)CC2)cc(OCc2ccccc2)c1-c1ccc(F)cc1
6011,3377407,CHEMBL1212340,CHEMBL1210209,LogD,,=,3.83,CHEMBL2362975,"Octanol-TAPSO distribution coefficient, log D of the compound at pH 7.4 by spectrophotometric analysis",P,CCOc1cc(CN2CCC(NC(=O)c3ccc(NC)nc3)CC2)cc(OCC)c1-c1ccc(F)cc1
6012,3377408,CHEMBL1212340,CHEMBL1210208,LogD,,=,3.73,CHEMBL2362975,"Octanol-TAPSO distribution coefficient, log D of the compound at pH 7.4 by spectrophotometric analysis",P,CCOc1cc(CN2CCC(NC(=O)c3cncc(C)c3)CC2)cc(OCC)c1-c1ccccc1
6013,3377409,CHEMBL1212340,CHEMBL1210207,LogD,,=,4.01,CHEMBL2362975,"Octanol-TAPSO distribution coefficient, log D of the compound at pH 7.4 by spectrophotometric analysis",P,CCOc1cc(CN2CCC(NC(=O)c3cncc(C)c3)CC2)cc(OCC)c1-c1ccc(F)cc1
6014,3377410,CHEMBL1212340,CHEMBL1210206,LogD,,=,3.55,CHEMBL2362975,"Octanol-TAPSO distribution coefficient, log D of the compound at pH 7.4 by spectrophotometric analysis",P,CCOc1cc(CN2CCC(NC(=O)c3ccc(Cl)nc3)CC2)cc(OCC)c1-c1ccc(F)cc1
6015,3377411,CHEMBL1212340,CHEMBL1210144,LogD,,=,3.13,CHEMBL2362975,"Octanol-TAPSO distribution coefficient, log D of the compound at pH 7.4 by spectrophotometric analysis",P,CCOc1cc(CN2CCC(NC(=O)c3ccc(NC)nc3)CC2)cc(OCC)c1-c1ccccc1
6016,3377412,CHEMBL1212340,CHEMBL1210143,LogD,,=,3.39,CHEMBL2362975,"Octanol-TAPSO distribution coefficient, log D of the compound at pH 7.4 by spectrophotometric analysis",P,CCOc1cc(CN2CCC(NC(=O)c3ccc(NC(C)C)nc3)CC2)cc(OCC)c1F
6017,3377413,CHEMBL1212340,CHEMBL1210142,LogD,,=,3.15,CHEMBL2362975,"Octanol-TAPSO distribution coefficient, log D of the compound at pH 7.4 by spectrophotometric analysis",P,CCOc1cc(CN2CCC(NC(=O)c3ccc(N)nc3)CC2)cc(OCC)c1-c1ccc(F)cc1
6018,3377415,CHEMBL1212340,CHEMBL1210085,LogD,,=,3.43,CHEMBL2362975,"Octanol-TAPSO distribution coefficient, log D of the compound at pH 7.4 by spectrophotometric analysis",P,CCOc1cc(CN2CCC(NC(=O)c3cncc(C)c3)CC2)cc(OCC)c1Cl
6019,3377416,CHEMBL1212340,CHEMBL1210084,LogD,,=,3.61,CHEMBL2362975,"Octanol-TAPSO distribution coefficient, log D of the compound at pH 7.4 by spectrophotometric analysis",P,CCOc1cc(CN2CCC(NC(=O)c3cncc(C)c3)CC2)cc(OCC)c1C
6020,3377417,CHEMBL1212340,CHEMBL1210083,LogD,,=,2.61,CHEMBL2362975,"Octanol-TAPSO distribution coefficient, log D of the compound at pH 7.4 by spectrophotometric analysis",P,CCOc1cc(CN2CCC(NC(=O)c3cncc(C)c3)CC2)cc(OCC)c1-n1ccnc1
6021,3377420,CHEMBL1212340,CHEMBL1210030,LogD,,=,4.1,CHEMBL2362975,"Octanol-TAPSO distribution coefficient, log D of the compound at pH 7.4 by spectrophotometric analysis",P,CCOc1cc(CN2CCC(NC(=O)c3cncc(C)c3)CC2)ccc1-c1ccc(F)cc1
