,activity_id,assay_chembl_id,molecule_chembl_id,type,standard_units,relation,standard_value,target_chembl_id,target_organism,assay_description,assay_type,smiles
2229,884715,CHEMBL635467,CHEMBL316199,LogD,,=,-0.18,CHEMBL2362975,,Partition coefficient (logD) (octanol/phosphate buffer),P,CC(=O)Oc1c(C)c(C)c2c(c1C)CCC(C)(CC[N+](C)(C)C)O2
2271,889631,CHEMBL635467,CHEMBL433157,LogD,,=,1.56,CHEMBL2362975,,Partition coefficient (logD) (octanol/phosphate buffer),P,CC(=O)Oc1c(C)c(C)c2c(c1C)CCC(C)(CCN(C)C)O2
2272,889700,CHEMBL630106,CHEMBL153,LogD,,=,-1.02,CHEMBL2362975,,Partition coefficient (logD) (octanol/phosphate buffer),P,Cc1c(C)c2c(c(C)c1O)CCC(C)(C(=O)O)O2
2274,890162,CHEMBL638468,CHEMBL540271,LogD,,=,0.3,CHEMBL2362975,,Distribution coefficient in octanol-pH 7.0 phosphate buffer was measured at room temperature,P,CCOC(=O)COc1ccc(C(=O)c2ccc(O)c(CN)c2)cc1.Cl
2286,891397,CHEMBL638468,CHEMBL536481,LogD,,=,1.66,CHEMBL2362975,,Distribution coefficient in octanol-pH 7.0 phosphate buffer was measured at room temperature,P,CCOC(=O)COc1ccc(Cc2ccc(O)c(CN)c2)c(Cl)c1Cl.Cl
2316,894426,CHEMBL630106,CHEMBL87570,LogD,,=,1.15,CHEMBL2362975,,Partition coefficient (logD) (octanol/phosphate buffer),P,Cc1c(C)c2c(c(C)c1O)CCC(C)(CCN(C)C)O2
2353,899563,CHEMBL638468,CHEMBL543295,LogD,,=,1.41,CHEMBL2362975,,Distribution coefficient in octanol-pH 7.0 phosphate buffer was measured at room temperature,P,CCOC(=O)COc1ccc(C(=O)c2ccc(O)c(CN)c2)c(Cl)c1Cl.Cl
2390,909479,CHEMBL635137,CHEMBL1203742,LogD,,=,1.93,CHEMBL2362975,,Tested for the 1-Octanol distribution coefficient determined by HPLC method (pH 7.4),P,Cl.Cn1ccnc1CC1COc2ccccc2O1
2397,910910,CHEMBL635137,CHEMBL1204368,LogD,,=,0.28,CHEMBL2362975,,Tested for the 1-Octanol distribution coefficient determined by HPLC method (pH 7.4),P,Cl.c1ccc2c(c1)OCC(CC1=NCCN1)O2
2404,913451,CHEMBL635137,CHEMBL1203715,LogD,,=,1.99,CHEMBL2362975,,Tested for the 1-Octanol distribution coefficient determined by HPLC method (pH 7.4),P,Cl.c1ccc2c(c1)OCC(CCc1ncc[nH]1)O2
